"",BBK01.OEAC12G,BBK01.OEAC12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:47,
2002-01,29.638,
2002-04,30.754,
2002-07,30.547,
2002-10,30.404,
2003-01,30.121,
2003-04,29.077,
2003-07,30.140,
2003-10,30.955,
2004-01,30.859,
2004-04,31.671,
2004-07,31.498,
2004-10,31.253,
2005-01,30.796,
2005-04,30.537,
2005-07,30.519,
2005-10,29.178,
2006-01,28.738,
2006-04,28.298,
2006-07,27.749,
2006-10,27.738,
2007-01,27.485,
2007-04,27.373,
2007-07,27.616,
2007-10,27.685,
2008-01,27.536,
2008-04,27.703,
2008-07,27.932,
2008-10,28.071,
2009-01,28.194,
2009-04,28.989,
2009-07,28.976,
2009-10,28.352,
2010-01,28.335,
2010-04,28.596,
2010-07,28.653,
2010-10,28.753,
2011-01,28.994,
2011-04,29.069,
2011-07,29.240,
2011-10,29.376,
2012-01,29.243,
2012-04,29.612,
2012-07,30.123,
2012-10,30.586,
2013-01,30.904,
2013-04,31.306,
2013-07,31.106,
2013-10,31.259,
2014-01,31.450,
2014-04,31.584,
2014-07,31.913,
