"",BBK01.OEBO02Q,BBK01.OEBO02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:58,
2002-01,0.617,
2002-04,0.550,
2002-07,0.482,
2002-10,0.539,
2003-01,0.641,
2003-04,0.491,
2003-07,0.584,
2003-10,0.503,
2004-01,0.560,
2004-04,0.397,
2004-07,0.519,
2004-10,0.473,
2005-01,0.708,
2005-04,0.602,
2005-07,0.610,
2005-10,0.609,
2006-01,0.844,
2006-04,0.696,
2006-07,0.658,
2006-10,0.754,
2007-01,1.135,
2007-04,0.780,
2007-07,0.710,
2007-10,0.861,
2008-01,0.896,
2008-04,0.840,
2008-07,0.753,
2008-10,1.274,
2009-01,1.115,
2009-04,0.888,
2009-07,1.075,
2009-10,0.883,
2010-01,0.965,
2010-04,0.650,
2010-07,0.560,
2010-10,0.811,
2011-01,0.865,
2011-04,0.663,
2011-07,0.669,
2011-10,0.589,
2012-01,0.965,
2012-04,0.545,
2012-07,0.592,
2012-10,0.646,
2013-01,0.630,
2013-04,0.467,
2013-07,0.443,
2013-10,0.430,
2014-01,0.407,
2014-04,0.339,
2014-07,0.562,
