"",BBK01.OEAC53P,BBK01.OEAC53P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:21,
2002-01,0.085,
2002-04,0.103,
2002-07,0.112,
2002-10,0.128,
2003-01,0.145,
2003-04,0.146,
2003-07,0.148,
2003-10,0.150,
2004-01,0.152,
2004-04,0.150,
2004-07,0.150,
2004-10,0.147,
2005-01,0.144,
2005-04,0.142,
2005-07,0.157,
2005-10,0.142,
2006-01,0.141,
2006-04,0.142,
2006-07,0.162,
2006-10,0.149,
2007-01,0.157,
2007-04,0.173,
2007-07,0.182,
2007-10,0.229,
2008-01,0.225,
2008-04,0.223,
2008-07,0.257,
2008-10,0.257,
2009-01,0.255,
2009-04,0.267,
2009-07,0.262,
2009-10,0.273,
2010-01,0.285,
2010-04,0.264,
2010-07,0.239,
2010-10,0.255,
2011-01,0.269,
2011-04,0.297,
2011-07,0.287,
2011-10,0.288,
2012-01,0.308,
2012-04,0.301,
2012-07,0.299,
2012-10,0.296,
2013-01,0.315,
2013-04,0.312,
2013-07,0.308,
2013-10,0.299,
2014-01,0.299,
2014-04,0.298,
2014-07,0.307,
