"",BBK01.OEAH60N,BBK01.OEAH60N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:32,
2002-01,27.007,
2002-04,26.294,
2002-07,26.164,
2002-10,25.879,
2003-01,25.321,
2003-04,24.568,
2003-07,22.996,
2003-10,21.919,
2004-01,21.048,
2004-04,20.055,
2004-07,19.439,
2004-10,17.500,
2005-01,17.942,
2005-04,18.284,
2005-07,18.214,
2005-10,18.555,
2006-01,18.780,
2006-04,18.658,
2006-07,19.667,
2006-10,20.685,
2007-01,21.869,
2007-04,23.026,
2007-07,25.533,
2007-10,27.652,
2008-01,30.231,
2008-04,32.771,
2008-07,36.175,
2008-10,39.645,
2009-01,32.684,
2009-04,27.143,
2009-07,21.203,
2009-10,16.866,
2010-01,15.246,
2010-04,14.184,
2010-07,13.102,
2010-10,12.889,
2011-01,13.073,
2011-04,13.900,
2011-07,16.193,
2011-10,14.542,
2012-01,15.021,
2012-04,14.072,
2012-07,13.056,
2012-10,11.987,
2013-01,11.198,
2013-04,10.542,
2013-07,10.230,
2013-10,9.938,
2014-01,10.072,
2014-04,10.318,
2014-07,9.992,
