"",BBK01.OEBI01I,BBK01.OEBI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:12,
2002-01,33.306,
2002-04,32.097,
2002-07,32.199,
2002-10,33.203,
2003-01,33.334,
2003-04,32.585,
2003-07,25.977,
2003-10,25.283,
2004-01,25.266,
2004-04,25.033,
2004-07,25.311,
2004-10,25.985,
2005-01,32.285,
2005-04,32.067,
2005-07,31.513,
2005-10,33.121,
2006-01,33.378,
2006-04,34.126,
2006-07,33.088,
2006-10,39.306,
2007-01,39.772,
2007-04,41.606,
2007-07,42.806,
2007-10,46.139,
2008-01,45.348,
2008-04,46.681,
2008-07,46.188,
2008-10,54.622,
2009-01,57.996,
2009-04,59.458,
2009-07,60.371,
2009-10,60.711,
2010-01,65.468,
2010-04,66.518,
2010-07,66.865,
2010-10,68.791,
2011-01,73.170,
2011-04,74.718,
2011-07,78.329,
2011-10,83.377,
2012-01,88.097,
2012-04,93.675,
2012-07,93.502,
2012-10,93.721,
2013-01,97.258,
2013-04,99.532,
2013-07,98.904,
2013-10,99.191,
2014-01,99.289,
2014-04,101.021,
2014-07,100.127,
