"",BBEX3.M.CDF.USD.CA.AB.A01,BBEX3.M.CDF.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in the Democratic Republic of the Congo / USD 1 = CDF ... (selling),
unit,CDF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:41,
2009-01,723.2118,
2009-02,760.8288,
2009-03,832.9902,
2009-04,847.5744,
2009-05,792.9061,
2009-06,767.9668,
2009-07,800.0879,
2009-08,837.8132,comment
2009-09,874.0668,
2009-10,896.4396,
2009-11,925.0775,
2009-12,916.7387,
2010-01,934.0220,
2010-02,930.8256,
2010-03,913.5015,
2010-04,913.2352,
2010-05,916.0162,
2010-06,921.4593,
2010-07,916.0062,
2010-08,921.8168,
2010-09,922.9421,
2010-10,927.4032,
2010-11,931.9415,
2010-12,933.4321,
2011-01,939.2381,
2011-02,942.5341,
2011-03,937.5293,
2011-04,939.4474,
2011-05,945.3170,
2011-06,938.2646,
2011-07,937.3780,
2011-08,938.9978,
2011-09,941.3688,
2011-10,939.2067,
2011-11,905.9492,
2011-12,929.0373,
2012-01,934.3630,
2012-02,939.5577,
2012-03,940.6392,
2012-04,934.5921,
2012-05,943.2030,
2012-06,939.2340,
2012-07,931.2387,
2012-08,939.8320,
2012-09,935.1009,
2012-10,938.1158,
2012-11,935.9628,
2012-12,935.6682,
2013-01,931.3815,
2013-02,937.8135,
2013-03,934.6272,
2013-04,937.1495,
2013-05,936.5216,
2013-06,935.1278,
2013-07,934.7380,
2013-08,934.2534,
2013-09,940.0499,
2013-10,946.1476,
2013-11,945.0475,
2013-12,944.0133,
2014-01,943.5209,
2014-02,949.6319,
2014-03,942.4262,
2014-04,944.5687,
2014-05,940.8239,
2014-06,946.1120,
2014-07,942.4277,
2014-08,944.3248,
2014-09,943.8314,
2014-10,945.7702,
2014-11,943.0641,
2014-12,942.9992,
2015-01,942.5693,
2015-02,944.1358,
"","General: Until December 2008, only indicative rates (middle rates) were available; see BBEX3:M:CDF:USD:CA:AC:A01.",
"","Source: Banque Centrale du Congo, Kinshasa",
"",Comment on 2009-08: Exchange rate as of 7 September 2009.,
