"",BBSF2.M.1.T.00000.GEL01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Money market funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:47,
2009-09,0,
2009-10,6,
2009-11,23,
2009-12,25,
2010-01,0,
2010-02,19,
2010-03,44,
2010-04,2,
2010-05,1,
2010-06,2,
2010-07,0,
2010-08,1,
2010-09,-,Nothing exists
2010-10,1,
2010-11,7,
2010-12,7,
2011-01,2,
2011-02,15,
2011-03,17,
2011-04,1,
2011-05,1,
2011-06,0,
2011-07,-,Nothing exists
2011-08,1,
2011-09,0,
2011-10,3,
2011-11,3,
2011-12,12,
2012-01,0,
2012-02,0,
2012-03,14,
2012-04,5,
2012-05,9,
2012-06,0,
2012-07,-,Nothing exists
2012-08,1,
2012-09,0,
2012-10,3,
2012-11,4,
2012-12,16,
2013-01,0,
2013-02,4,
2013-03,9,
2013-04,0,
2013-05,6,
2013-06,0,
2013-07,1,
2013-08,0,
2013-09,0,
2013-10,1,
2013-11,2,
2013-12,4,
2014-01,-,Nothing exists
2014-02,0,
2014-03,9,
2014-04,0,
2014-05,8,
2014-06,-,Nothing exists
2014-07,0,
2014-08,0,
2014-09,-,Nothing exists
2014-10,1,
2014-11,1,
