"",BBK01.OEBM01R,BBK01.OEBM01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:19,
2002-01,0.393,
2002-04,0.376,
2002-07,0.371,
2002-10,0.404,
2003-01,0.295,
2003-04,0.289,
2003-07,0.311,
2003-10,0.313,
2004-01,0.270,
2004-04,0.294,
2004-07,0.291,
2004-10,0.332,
2005-01,0.342,
2005-04,0.299,
2005-07,0.325,
2005-10,0.337,
2006-01,0.328,
2006-04,0.346,
2006-07,0.353,
2006-10,0.376,
2007-01,0.356,
2007-04,0.392,
2007-07,0.470,
2007-10,0.365,
2008-01,0.433,
2008-04,0.496,
2008-07,0.408,
2008-10,0.463,
2009-01,0.542,
2009-04,0.580,
2009-07,0.587,
2009-10,0.579,
2010-01,0.563,
2010-04,0.577,
2010-07,0.612,
2010-10,0.595,
2011-01,0.607,
2011-04,0.623,
2011-07,0.653,
2011-10,0.652,
2012-01,0.631,
2012-04,0.673,
2012-07,0.699,
2012-10,0.746,
2013-01,0.835,
2013-04,0.733,
2013-07,0.757,
2013-10,0.618,
2014-01,0.702,
2014-04,0.727,
2014-07,0.730,
