"",BBK01.OEAD19G,BBK01.OEAD19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:33,
2002-01,0.607,
2002-04,0.606,
2002-07,0.581,
2002-10,0.582,
2003-01,0.533,
2003-04,0.571,
2003-07,0.548,
2003-10,0.486,
2004-01,0.446,
2004-04,0.465,
2004-07,0.440,
2004-10,0.352,
2005-01,0.326,
2005-04,0.396,
2005-07,0.343,
2005-10,0.279,
2006-01,0.282,
2006-04,0.380,
2006-07,0.363,
2006-10,0.258,
2007-01,0.247,
2007-04,0.291,
2007-07,0.309,
2007-10,0.286,
2008-01,0.257,
2008-04,0.289,
2008-07,0.288,
2008-10,0.432,
2009-01,0.524,
2009-04,0.405,
2009-07,0.383,
2009-10,0.342,
2010-01,0.299,
2010-04,0.283,
2010-07,0.282,
2010-10,0.266,
2011-01,0.291,
2011-04,0.490,
2011-07,0.329,
2011-10,0.304,
2012-01,0.325,
2012-04,0.333,
2012-07,0.329,
2012-10,0.294,
2013-01,0.324,
2013-04,0.311,
2013-07,0.271,
2013-10,0.221,
2014-01,0.242,
2014-04,0.265,
2014-07,0.239,
