"",BBK01.OEYB10O,BBK01.OEYB10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:42,
2002-01,1.575,
2002-04,1.516,
2002-07,1.666,
2002-10,1.614,
2003-01,1.687,
2003-04,1.810,
2003-07,1.810,
2003-10,1.726,
2004-01,1.662,
2004-04,1.267,
2004-07,1.253,
2004-10,1.491,
2005-01,1.580,
2005-04,1.627,
2005-07,1.632,
2005-10,1.244,
2006-01,1.659,
2006-04,1.484,
2006-07,1.655,
2006-10,1.444,
2007-01,1.526,
2007-04,1.657,
2007-07,2.765,
2007-10,2.026,
2008-01,1.917,
2008-04,2.116,
2008-07,1.622,
2008-10,1.294,
2009-01,1.129,
2009-04,1.120,
2009-07,0.970,
2009-10,1.138,
2010-01,0.886,
2010-04,1.186,
2010-07,1.286,
2010-10,1.483,
2011-01,1.199,
2011-04,1.037,
2011-07,1.077,
2011-10,1.132,
2012-01,1.197,
2012-04,1.240,
2012-07,1.195,
2012-10,1.141,
2013-01,1.263,
2013-04,1.122,
2013-07,1.665,
2013-10,1.595,
2014-01,1.495,
2014-04,1.358,
2014-07,1.341,
