"",BBFN1.M.DE.N.1.L.NZ.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NZ.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:53,
1994-07,0.011,
1994-08,0.015,
1994-09,0.017,
1994-10,0.016,
1994-11,0.020,
1994-12,0.024,
1995-01,0.025,
1995-02,0.025,
1995-03,0.022,
1995-04,0.022,
1995-05,0.023,
1995-06,0.024,
1995-07,0.025,
1995-08,0.026,
1995-09,0.021,
1995-10,0.021,
1995-11,0.024,
1995-12,0.027,
1996-01,0.030,
1996-02,0.035,
1996-03,0.042,
1996-04,0.033,
1996-05,0.035,
1996-06,0.035,
1996-07,0.036,
1996-08,0.036,
1996-09,0.028,
1996-10,0.021,
1996-11,0.029,
1996-12,0.035,
1997-01,0.033,
1997-02,0.025,
1997-03,0.032,
1997-04,0.031,
1997-05,0.029,
1997-06,0.028,
1997-07,0.029,
1997-08,0.032,
1997-09,0.035,
1997-10,0.034,
1997-11,0.031,
1997-12,0.061,
1998-01,0.028,
1998-02,0.029,
1998-03,0.072,
1998-04,0.102,
1998-05,0.072,
1998-06,0.087,
1998-07,0.088,
1998-08,0.084,
1998-09,0.081,
1998-10,0.083,
1998-11,0.078,
1998-12,0.072,
1999-01,0.076,
1999-02,0.078,
1999-03,0.074,
1999-04,0.076,
1999-05,0.019,
1999-06,0.066,
1999-07,0.064,
1999-08,0.066,
1999-09,0.017,
1999-10,0.016,
1999-11,0.060,
1999-12,0.019,
2000-01,0.024,
2000-02,0.024,
2000-03,0.026,
2000-04,0.024,
2000-05,0.030,
2000-06,0.034,
2000-07,0.038,
2000-08,0.056,
2000-09,0.029,
2000-10,0.056,
2000-11,0.059,
2000-12,0.051,
2001-01,0.059,
2001-02,0.065,
2001-03,0.065,
2001-04,0.068,
2001-05,0.063,
2001-06,0.070,
2001-07,0.079,
2001-08,0.089,
2001-09,0.090,
2001-10,0.084,
2001-11,0.078,
2001-12,0.054,
2002-01,0.053,
2002-02,0.056,
2002-03,0.056,
2002-04,0.054,
2002-05,0.063,
2002-06,0.064,
2002-07,0.066,
2002-08,0.068,
2002-09,0.070,
2002-10,0.087,
2002-11,0.080,
2002-12,0.075,
2003-01,0.076,
2003-02,0.078,
2003-03,0.081,
2003-04,0.071,
2003-05,0.076,
2003-06,0.058,
2003-07,0.047,
2003-08,0.043,
2003-09,0.050,
2003-10,0.067,
2003-11,0.089,
2003-12,0.088,
2004-01,0.074,
2004-02,0.076,
2004-03,0.082,
2004-04,0.056,
2004-05,0.054,
2004-06,0.052,
2004-07,0.050,
2004-08,0.055,
2004-09,0.057,
2004-10,0.055,
2004-11,0.054,
2004-12,0.063,
2005-01,0.066,
2005-02,0.065,
2005-03,0.070,
2005-04,0.065,
2005-05,0.063,
2005-06,0.063,
2005-07,0.060,
2005-08,0.070,
2005-09,0.081,
2005-10,0.082,
2005-11,0.078,
2005-12,0.079,
2006-01,0.086,
2006-02,0.086,
2006-03,0.089,
2006-04,0.093,
2006-05,0.111,
2006-06,0.115,
2006-07,0.115,
2006-08,0.113,
2006-09,0.115,
2006-10,0.140,
2006-11,0.136,
2006-12,0.130,
2007-01,0.099,
2007-02,0.089,
2007-03,0.088,
2007-04,0.080,
2007-05,0.080,
2007-06,0.062,
2007-07,0.047,
2007-08,0.041,
2007-09,0.049,
2007-10,0.042,
2007-11,0.047,
2007-12,0.081,
2008-01,0.086,
2008-02,0.088,
2008-03,0.074,
2008-04,0.077,
2008-05,0.076,
2008-06,0.074,
2008-07,0.066,
2008-08,0.067,
2008-09,0.077,
2008-10,0.083,
2008-11,0.085,
2008-12,0.097,
2009-01,0.100,
2009-02,0.116,
2009-03,0.113,
2009-04,0.121,
2009-05,0.093,
2009-06,0.080,
2009-07,0.067,
2009-08,0.075,
2009-09,0.083,
2009-10,0.107,
2009-11,0.100,
2009-12,0.122,
2010-01,0.123,
2010-02,0.130,
2010-03,0.140,
2010-04,0.130,
2010-05,0.146,
2010-06,0.150,
2010-07,0.142,
2010-08,0.141,
2010-09,0.137,
2010-10,0.134,
2010-11,0.112,
2010-12,0.043,
2011-01,0.047,
2011-02,0.046,
2011-03,0.045,
2011-04,0.046,
2011-05,0.052,
2011-06,0.060,
2011-07,0.058,
2011-08,0.068,
2011-09,0.077,
2011-10,0.074,
2011-11,0.079,
2011-12,0.085,
2012-01,0.086,
2012-02,0.088,
2012-03,0.095,
2012-04,0.101,
2012-05,0.100,
2012-06,0.106,
2012-07,0.099,
2012-08,0.122,
2012-09,0.119,
2012-10,0.122,
2012-11,0.127,
2012-12,0.122,
2013-01,0.122,
2013-02,0.122,
2013-03,0.128,
2013-04,0.135,
2013-05,0.132,
2013-06,0.148,
2013-07,0.128,
2013-08,0.127,
2013-09,0.077,
2013-10,0.109,
2013-11,0.118,
2013-12,0.073,
2014-01,0.082,
2014-02,0.105,
2014-03,0.077,
2014-04,0.119,
2014-05,0.089,
2014-06,0.107,
2014-07,0.088,
2014-08,0.088,
2014-09,0.135,
2014-10,0.128,
2014-11,0.113,
2014-12,0.063,
