"",BBK01.OEAB09N,BBK01.OEAB09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:29,
2002-01,142.368,
2002-04,143.486,
2002-07,141.534,
2002-10,142.913,
2003-01,139.439,
2003-04,138.299,
2003-07,137.008,
2003-10,131.042,
2004-01,129.579,
2004-04,128.533,
2004-07,127.565,
2004-10,119.199,
2005-01,124.758,
2005-04,122.154,
2005-07,122.352,
2005-10,122.712,
2006-01,132.172,
2006-04,134.549,
2006-07,137.278,
2006-10,135.953,
2007-01,139.740,
2007-04,143.965,
2007-07,145.601,
2007-10,150.790,
2008-01,155.593,
2008-04,160.492,
2008-07,160.775,
2008-10,165.818,
2009-01,162.779,
2009-04,167.047,
2009-07,171.218,
2009-10,163.111,
2010-01,164.245,
2010-04,173.739,
2010-07,167.869,
2010-10,168.336,
2011-01,171.477,
2011-04,175.560,
2011-07,191.936,
2011-10,188.488,
2012-01,183.448,
2012-04,181.167,
2012-07,182.254,
2012-10,175.988,
2013-01,181.725,
2013-04,179.827,
2013-07,157.059,
2013-10,156.419,
2014-01,160.031,
2014-04,161.631,
2014-07,161.235,
