"",BBK01.DU7802,BBK01.DU7802_FLAGS
"","Basic pay rates, overall economy, excluding ancillary benefits, excluding one-off payments, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:17,
1991-01,56.1,
1991-02,56.2,
1991-03,57.0,
1991-04,58.1,
1991-05,58.5,
1991-06,59.4,
1991-07,60.3,
1991-08,60.3,
1991-09,60.5,
1991-10,60.7,
1991-11,60.7,
1991-12,60.8,
1992-01,61.2,
1992-02,61.3,
1992-03,61.5,
1992-04,64.0,
1992-05,66.0,
1992-06,66.1,
1992-07,66.3,
1992-08,66.4,
1992-09,66.4,
1992-10,66.6,
1992-11,66.6,
1992-12,66.9,
1993-01,67.6,
1993-02,67.8,
1993-03,67.9,
1993-04,68.6,
1993-05,69.3,
1993-06,69.8,
1993-07,70.2,
1993-08,70.2,
1993-09,70.3,
1993-10,70.3,
1993-11,70.3,
1993-12,70.4,
1994-01,70.3,
1994-02,70.3,
1994-03,70.3,
1994-04,70.6,
1994-05,70.9,
1994-06,71.2,
1994-07,71.7,
1994-08,71.8,
1994-09,72.0,
1994-10,72.2,
1994-11,72.2,
1994-12,72.3,
1995-01,72.6,
1995-02,72.6,
1995-03,72.9,
1995-04,73.4,
1995-05,74.6,
1995-06,74.8,
1995-07,75.2,
1995-08,75.2,
1995-09,75.2,
1995-10,75.4,
1995-11,75.8,
1995-12,75.8,
1996-01,75.9,
1996-02,75.9,
1996-03,76.0,
1996-04,76.2,
1996-05,76.3,
1996-06,76.4,
1996-07,76.6,
1996-08,76.6,
1996-09,76.6,
1996-10,76.8,
1996-11,76.8,
1996-12,76.8,
1997-01,77.1,
1997-02,77.1,
1997-03,77.3,
1997-04,77.5,
1997-05,77.6,
1997-06,77.6,
1997-07,77.9,
1997-08,78.0,
1997-09,78.0,
1997-10,78.1,
1997-11,78.1,
1997-12,78.2,
1998-01,78.6,
1998-02,78.6,
1998-03,78.7,
1998-04,79.1,
1998-05,79.1,
1998-06,79.2,
1998-07,79.4,
1998-08,79.5,
1998-09,79.6,
1998-10,79.7,
1998-11,79.7,
1998-12,79.7,
1999-01,79.9,
1999-02,79.9,
1999-03,80.2,
1999-04,81.0,
1999-05,81.1,
1999-06,81.5,
1999-07,81.8,
1999-08,81.9,
1999-09,82.0,
1999-10,82.0,
1999-11,82.1,
1999-12,82.1,
2000-01,82.2,
2000-02,82.2,
2000-03,82.2,
2000-04,82.6,
2000-05,83.1,
2000-06,83.2,
2000-07,83.4,
2000-08,83.8,
2000-09,83.9,
2000-10,83.9,
2000-11,84.0,
2000-12,84.0,
2001-01,84.3,
2001-02,84.3,
2001-03,84.4,
2001-04,84.6,
2001-05,85.0,
2001-06,85.2,
2001-07,85.3,
2001-08,85.3,
2001-09,85.7,
2001-10,85.8,
2001-11,85.8,
2001-12,85.8,
2002-01,86.2,
2002-02,86.2,
2002-03,86.2,
2002-04,86.3,
2002-05,86.5,
2002-06,86.9,
2002-07,87.1,
2002-08,87.3,
2002-09,87.7,
2002-10,87.8,
2002-11,87.8,
2002-12,87.8,
2003-01,88.3,
2003-02,88.3,
2003-03,88.3,
2003-04,88.7,
2003-05,88.8,
2003-06,89.1,
2003-07,89.3,
2003-08,89.4,
2003-09,89.2,
2003-10,89.3,
2003-11,89.3,
2003-12,89.3,
2004-01,89.4,
2004-02,89.4,
2004-03,89.5,
2004-04,89.6,
2004-05,89.8,
2004-06,89.9,
2004-07,90.1,
2004-08,90.3,
2004-09,90.3,
2004-10,90.4,
2004-11,90.4,
2004-12,90.4,
2005-01,90.5,
2005-02,90.5,
2005-03,90.7,
2005-04,90.8,
2005-05,90.8,
2005-06,90.9,
2005-07,90.9,
2005-08,91.0,
2005-09,91.1,
2005-10,91.2,
2005-11,91.2,
2005-12,91.2,
2006-01,91.1,
2006-02,91.1,
2006-03,91.2,
2006-04,91.3,
2006-05,91.4,
2006-06,91.8,
2006-07,91.7,
2006-08,91.8,
2006-09,91.9,
2006-10,92.0,
2006-11,92.0,
2006-12,92.1,
2007-01,92.1,
2007-02,92.2,
2007-03,92.3,
2007-04,92.3,
2007-05,92.4,
2007-06,93.1,
2007-07,93.2,
2007-08,93.4,
2007-09,93.4,
2007-10,93.6,
2007-11,93.7,
2007-12,93.7,
2008-01,94.8,
2008-02,94.8,
2008-03,95.0,
2008-04,95.4,
2008-05,95.8,
2008-06,96.1,
2008-07,96.3,
2008-08,96.3,
2008-09,96.5,
2008-10,96.5,
2008-11,96.6,
2008-12,96.7,
2009-01,96.9,
2009-02,97.2,
2009-03,97.8,
2009-04,97.9,
2009-05,98.2,
2009-06,98.4,
2009-07,98.5,
2009-08,98.6,
2009-09,98.8,
2009-10,98.9,
2009-11,99.0,
2009-12,99.0,
2010-01,99.4,
2010-02,99.5,
2010-03,99.7,
2010-04,99.8,
2010-05,99.9,
2010-06,100.0,
2010-07,100.1,
2010-08,100.2,
2010-09,100.3,
2010-10,100.3,
2010-11,100.4,
2010-12,100.4,
2011-01,100.6,
2011-02,100.7,
2011-03,100.7,
2011-04,101.3,
2011-05,101.6,
2011-06,101.9,
2011-07,102.2,
2011-08,102.3,
2011-09,102.4,
2011-10,102.5,
2011-11,102.6,
2011-12,102.7,
2012-01,103.2,
2012-02,103.2,
2012-03,103.8,
2012-04,103.9,
2012-05,104.5,
2012-06,104.9,
2012-07,105.2,
2012-08,105.4,
2012-09,105.5,
2012-10,105.5,
2012-11,105.7,
2012-12,105.7,
2013-01,106.4,
2013-02,106.4,
2013-03,106.5,
2013-04,106.5,
2013-05,106.7,
2013-06,106.9,
2013-07,107.7,
2013-08,108.0,
2013-09,108.1,
2013-10,108.1,
2013-11,108.2,
2013-12,108.2,
2014-01,109.0,
2014-02,109.1,
2014-03,109.7,
2014-04,109.9,
2014-05,110.5,
2014-06,110.7,
2014-07,110.9,
2014-08,111.0,
2014-09,111.1,
2014-10,111.2,
2014-11,111.3,
2014-12,111.3,
