"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Enterprises and households / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:34,
1991-01,169.730,
1991-02,351.133,
1991-03,-61.553,
1991-04,100.130,
1991-05,-13.095,
1991-06,221.135,
1991-07,94.747,
1991-08,182.665,
1991-09,97.542,
1991-10,-197.680,
1991-11,9.867,
1991-12,-121.648,
1992-01,123.674,
1992-02,-657.604,
1992-03,-265.850,
1992-04,-5.678,
1992-05,66.241,
1992-06,2.529,
1992-07,74.344,
1992-08,30.395,
1992-09,-83.449,
1992-10,20.205,
1992-11,70.426,
1992-12,956.954,
1993-01,-16.885,
1993-02,-48.778,
1993-03,-81.103,
1993-04,174.940,
1993-05,131.746,
1993-06,90.178,
1993-07,10.167,
1993-08,257.722,
1993-09,-189.961,
1993-10,-43.745,
1993-11,20.743,
1993-12,-87.394,
1994-01,64.759,
1994-02,-15.913,
1994-03,125.775,
1994-04,-21.305,
1994-05,-203.658,
1994-06,96.705,
1994-07,53.415,
1994-08,50.250,
1994-09,-590.075,
1994-10,71.879,
1994-11,23.091,
1994-12,97.742,
1995-01,15.031,
1995-02,186.275,
1995-03,33.328,
1995-04,-37.680,
1995-05,293.377,
1995-06,222.026,
1995-07,503.800,
1995-08,79.025,
1995-09,487.464,
1995-10,3.185,
1995-11,90.263,
1995-12,-294.282,
1996-01,-11.100,
1996-02,-132.377,
1996-03,-45.100,
1996-04,-23.029,
1996-05,-245.956,
1996-06,-137.087,
1996-07,71.745,
1996-08,67.227,
1996-09,84.535,
1996-10,34.754,
1996-11,1425.584,
1996-12,76.684,
1997-01,-1.927,
1997-02,27.276,
1997-03,13.368,
1997-04,100.835,
1997-05,11.547,
1997-06,93.039,
1997-07,179.272,
1997-08,-24.065,
1997-09,81.878,
1997-10,82.571,
1997-11,9.451,
1997-12,492.654,
1998-01,68.997,
1998-02,46.524,
1998-03,102.639,
1998-04,94.941,
1998-05,-638.446,
1998-06,116.758,
1998-07,77.916,
1998-08,350.590,
1998-09,6.907,
1998-10,295.765,
1998-11,-699.079,
1998-12,546.613,
1999-01,303.552,
1999-02,181.408,
1999-03,-25.291,
1999-04,193.049,
1999-05,17.615,
1999-06,1460.978,
1999-07,46.283,
1999-08,29.305,
1999-09,-602.597,
1999-10,352.894,
