"",BBK01.OEHJ04N,BBK01.OEHJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:33,
2002-01,4.962,
2002-04,5.234,
2002-07,5.444,
2002-10,5.639,
2003-01,5.448,
2003-04,5.102,
2003-07,4.860,
2003-10,5.234,
2004-01,4.981,
2004-04,4.922,
2004-07,5.056,
2004-10,5.340,
2005-01,5.201,
2005-04,5.311,
2005-07,5.089,
2005-10,5.538,
2006-01,5.766,
2006-04,5.994,
2006-07,6.716,
2006-10,6.731,
2007-01,6.900,
2007-04,7.099,
2007-07,8.308,
2007-10,7.974,
2008-01,8.378,
2008-04,8.801,
2008-07,9.756,
2008-10,9.891,
2009-01,8.843,
2009-04,8.284,
2009-07,7.690,
2009-10,7.245,
2010-01,7.048,
2010-04,6.685,
2010-07,7.096,
2010-10,7.474,
2011-01,8.239,
2011-04,8.410,
2011-07,9.180,
2011-10,9.027,
2012-01,8.988,
2012-04,8.962,
2012-07,7.347,
2012-10,6.210,
2013-01,6.673,
2013-04,6.352,
2013-07,5.667,
2013-10,5.528,
2014-01,5.638,
2014-04,5.210,
2014-07,5.163,
