"",BBK01.CEFAN0,BBK01.CEFAN0_FLAGS
"",short-term debt securities                                                  debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:25,
1999-01,10.9,
1999-04,11.1,
1999-07,12.2,
1999-10,11.8,
2000-01,10.2,
2000-04,8.4,
2000-07,7.1,
2000-10,10.2,
2001-01,10.4,
2001-04,11.5,
2001-07,11.8,
2001-10,9.0,
2002-01,14.1,
2002-04,13.0,
2002-07,17.1,
2002-10,15.1,
2003-01,15.1,
2003-04,14.4,
2003-07,15.4,
2003-10,14.8,
2004-01,14.8,
2004-04,17.8,
2004-07,22.2,
2004-10,22.2,
2005-01,19.1,
2005-04,19.3,
2005-07,20.8,
2005-10,23.3,
2006-01,21.7,
2006-04,30.4,
2006-07,30.0,
2006-10,29.1,
2007-01,34.7,
2007-04,40.9,
2007-07,43.7,
2007-10,53.4,
2008-01,53.9,
2008-04,61.7,
2008-07,61.9,
2008-10,38.6,
2009-01,31.9,
2009-04,30.6,
2009-07,31.4,
2009-10,24.7,
2010-01,24.6,
2010-04,25.9,
2010-07,24.9,
2010-10,21.3,
2011-01,24.0,
2011-04,29.7,
2011-07,33.2,
2011-10,25.5,
2012-01,30.4,
2012-04,29.4,
2012-07,29.3,
2012-10,26.7,
2013-01,28.6,
2013-04,29.7,
2013-07,29.1,
2013-10,28.0,
2014-01,34.7,
2014-04,34.1,
2014-07,30.8,
