"",BBK01.OEAF06J,BBK01.OEAF06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:46,
2002-01,0.730,
2002-04,0.741,
2002-07,0.745,
2002-10,0.741,
2003-01,0.759,
2003-04,0.761,
2003-07,0.737,
2003-10,0.618,
2004-01,0.698,
2004-04,0.692,
2004-07,0.749,
2004-10,0.747,
2005-01,0.800,
2005-04,0.801,
2005-07,0.808,
2005-10,0.794,
2006-01,0.789,
2006-04,0.782,
2006-07,0.843,
2006-10,0.833,
2007-01,0.830,
2007-04,0.824,
2007-07,0.805,
2007-10,0.824,
2008-01,0.828,
2008-04,0.836,
2008-07,0.842,
2008-10,0.848,
2009-01,0.885,
2009-04,0.911,
2009-07,0.881,
2009-10,0.879,
2010-01,0.877,
2010-04,0.947,
2010-07,0.917,
2010-10,0.915,
2011-01,0.925,
2011-04,0.887,
2011-07,0.931,
2011-10,0.928,
2012-01,0.933,
2012-04,0.942,
2012-07,0.926,
2012-10,0.835,
2013-01,0.831,
2013-04,0.775,
2013-07,0.779,
2013-10,0.775,
2014-01,0.770,
2014-04,0.767,
2014-07,0.760,
