"",BBFN1.M.DE.N.1.L.NL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1996-12,16.127,
1997-01,15.532,
1997-02,16.282,
1997-03,16.650,
1997-04,17.139,
1997-05,16.788,
1997-06,16.647,
1997-07,17.160,
1997-08,17.686,
1997-09,18.900,
1997-10,19.394,
1997-11,19.383,
1997-12,21.219,
1998-01,20.151,
1998-02,20.511,
1998-03,21.548,
1998-04,21.909,
1998-05,23.960,
1998-06,23.865,
1998-07,26.188,
1998-08,25.338,
1998-09,25.659,
1998-10,26.674,
1998-11,26.337,
1998-12,26.793,
1999-01,26.621,
1999-02,26.852,
1999-03,27.165,
1999-04,29.268,
1999-05,34.324,
1999-06,36.266,
1999-07,38.822,
1999-08,39.378,
1999-09,41.536,
1999-10,43.171,
1999-11,45.317,
1999-12,52.352,
2000-01,50.506,
2000-02,54.087,
2000-03,56.291,
2000-04,56.443,
2000-05,56.806,
2000-06,63.826,
2000-07,80.566,
2000-08,91.877,
2000-09,97.783,
2000-10,98.608,
2000-11,96.676,
2000-12,94.555,
2001-01,94.549,
2001-02,95.453,
2001-03,96.878,
2001-04,96.359,
2001-05,98.241,
2001-06,102.690,
2001-07,111.680,
2001-08,111.346,
2001-09,114.227,
2001-10,114.782,
2001-11,116.130,
2001-12,118.264,
2002-01,122.562,
2002-02,127.106,
2002-03,132.210,
2002-04,139.270,
2002-05,158.414,
2002-06,158.707,
2002-07,158.581,
2002-08,158.448,
2002-09,158.902,
2002-10,161.146,
2002-11,161.724,
2002-12,156.462,
2003-01,154.002,
2003-02,156.551,
2003-03,157.033,
2003-04,161.649,
2003-05,164.892,
2003-06,168.486,
2003-07,168.356,
2003-08,169.295,
2003-09,166.119,
2003-10,166.326,
2003-11,170.081,
2003-12,168.564,
2004-01,171.061,
2004-02,167.647,
2004-03,171.946,
2004-04,170.723,
2004-05,177.190,
2004-06,177.237,
2004-07,176.201,
2004-08,175.782,
2004-09,167.059,
2004-10,162.904,
2004-11,160.915,
2004-12,158.855,
2005-01,160.852,
2005-02,161.417,
2005-03,160.890,
2005-04,160.569,
2005-05,164.594,
2005-06,163.041,
2005-07,158.313,
2005-08,156.746,
2005-09,155.924,
2005-10,160.961,
2005-11,162.028,
2005-12,161.749,
2006-01,160.043,
2006-02,162.991,
2006-03,164.283,
2006-04,165.718,
2006-05,170.170,
2006-06,170.041,
2006-07,163.513,
2006-08,166.509,
2006-09,173.125,
2006-10,173.087,
2006-11,175.853,
2006-12,171.209,
2007-01,173.868,
2007-02,170.205,
2007-03,170.455,
2007-04,171.736,
2007-05,171.354,
2007-06,171.666,
2007-07,184.304,
2007-08,189.558,
2007-09,182.492,
2007-10,185.016,
2007-11,180.879,
2007-12,173.503,
2008-01,170.947,
2008-02,170.428,
2008-03,170.858,
2008-04,177.616,
2008-05,175.524,
2008-06,173.383,
2008-07,170.509,
2008-08,170.208,
2008-09,178.125,
2008-10,164.587,
2008-11,164.185,
2008-12,167.303,
2009-01,174.794,
2009-02,184.752,
2009-03,186.272,
2009-04,189.587,
2009-05,188.960,
2009-06,190.913,
2009-07,194.210,
2009-08,193.481,
2009-09,192.986,
2009-10,196.915,
2009-11,197.265,
2009-12,196.528,
2010-01,188.646,
2010-02,188.762,
2010-03,191.945,
2010-04,193.815,
2010-05,192.037,
2010-06,188.749,
2010-07,189.258,
2010-08,192.186,
2010-09,197.024,
2010-10,193.775,
2010-11,192.510,
2010-12,202.105,
2011-01,194.246,
2011-02,191.703,
2011-03,192.639,
2011-04,193.507,
2011-05,197.598,
2011-06,203.053,
2011-07,206.995,
2011-08,205.154,
2011-09,208.519,
2011-10,202.091,
2011-11,201.827,
2011-12,214.190,
2012-01,210.927,
2012-02,209.894,
2012-03,209.137,
2012-04,209.872,
2012-05,211.025,
2012-06,217.250,
2012-07,214.813,
2012-08,214.804,
2012-09,218.623,
2012-10,218.429,
2012-11,219.475,
2012-12,225.719,
2013-01,219.359,
2013-02,213.540,
2013-03,221.946,
2013-04,235.296,
2013-05,239.935,
2013-06,239.421,
2013-07,242.050,
2013-08,239.436,
2013-09,242.983,
2013-10,239.245,
2013-11,237.550,
2013-12,241.134,
2014-01,233.478,
2014-02,233.839,
2014-03,236.062,
2014-04,235.709,
2014-05,239.274,
2014-06,245.994,
2014-07,239.019,
2014-08,239.391,
2014-09,232.600,
2014-10,232.679,
2014-11,237.243,
2014-12,220.665,
