"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:06,
1991-01,10.839,
1991-04,-103.387,
1991-07,-15.948,
1991-10,24.018,
1992-01,3.793,
1992-04,3.000,
1992-07,-23.128,
1992-10,114.409,
1993-01,-23.248,
1993-04,30.342,
1993-07,68.386,
1993-10,52.677,
1994-01,-9.113,
1994-04,-6.056,
1994-07,-25.491,
1994-10,-4.950,
1995-01,28.796,
1995-04,79.922,
1995-07,30.696,
1995-10,32.343,
1996-01,81.973,
1996-04,-86.543,
1996-07,17.970,
1996-10,38.836,
1997-01,-13.895,
1997-04,73.893,
1997-07,469.225,
1997-10,485.128,
1998-01,-196.583,
1998-04,-34.746,
1998-07,47.651,
1998-10,91.377,
1999-01,109.382,
1999-04,-2153.966,
1999-07,-125.360,
1999-10,-192.894,
2000-01,-126.099,
2000-04,226.060,
2000-07,-270.964,
2000-10,105.941,
2001-01,-13.501,
2001-04,88.618,
2001-07,-287.051,
2001-10,290.840,
2002-01,-111.828,
2002-04,-59.538,
2002-07,-230.234,
2002-10,156.139,
2003-01,258.836,
2003-04,208.905,
2003-07,-197.518,
2003-10,129.822,
2004-01,-65.383,
2004-04,-0.849,
2004-07,140.929,
2004-10,-157.665,
2005-01,-290.549,
2005-04,129.683,
2005-07,-287.795,
2005-10,-251.148,
2006-01,-123.327,
2006-04,-30.191,
2006-07,-186.767,
2006-10,-58.100,
2007-01,9.314,
2007-04,102.149,
2007-07,-1.581,
2007-10,6.171,
2008-01,-136.664,
2008-04,-228.410,
2008-07,626.679,
2008-10,-628.301,
2009-01,525.154,
2009-04,-847.262,
2009-07,87.913,
2009-10,159.452,
2010-01,167.151,
2010-04,405.115,
2010-07,374.323,
2010-10,194.481,
2011-01,423.361,
2011-04,105.141,
2011-07,86.844,
2011-10,-75.506,
2012-01,-223.232,
2012-04,5.091,
2012-07,225.815,
2012-10,-116.963,
2013-01,-104.024,
2013-04,-685.410,
2013-07,-187.896,
2013-10,121.643,
2014-01,56.276,Provisional value
2014-04,-49.638,Provisional value
2014-07,-39.784,Provisional value
2014-10,-505.842,Provisional value
