"",BBK01.OEAF08N,BBK01.OEAF08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:41,
2002-01,3.168,
2002-04,3.223,
2002-07,3.177,
2002-10,3.464,
2003-01,3.347,
2003-04,3.276,
2003-07,3.309,
2003-10,3.426,
2004-01,3.358,
2004-04,3.093,
2004-07,3.114,
2004-10,3.021,
2005-01,3.099,
2005-04,3.089,
2005-07,3.653,
2005-10,4.022,
2006-01,4.288,
2006-04,4.312,
2006-07,4.266,
2006-10,4.645,
2007-01,4.464,
2007-04,4.385,
2007-07,4.466,
2007-10,4.421,
2008-01,4.290,
2008-04,4.221,
2008-07,4.045,
2008-10,4.165,
2009-01,4.062,
2009-04,3.852,
2009-07,4.118,
2009-10,4.151,
2010-01,4.125,
2010-04,4.140,
2010-07,4.191,
2010-10,4.239,
2011-01,4.218,
2011-04,4.330,
2011-07,4.225,
2011-10,4.154,
2012-01,4.182,
2012-04,4.152,
2012-07,4.073,
2012-10,4.055,
2013-01,4.041,
2013-04,4.016,
2013-07,4.013,
2013-10,4.072,
2014-01,4.188,
2014-04,4.186,
2014-07,4.125,
