"",BBK01.OELB02U,BBK01.OELB02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:41,
2002-01,0.356,
2002-04,0.347,
2002-07,0.342,
2002-10,0.327,
2003-01,0.346,
2003-04,0.342,
2003-07,0.333,
2003-10,0.279,
2004-01,0.297,
2004-04,0.282,
2004-07,0.275,
2004-10,0.256,
2005-01,0.269,
2005-04,0.254,
2005-07,0.255,
2005-10,0.238,
2006-01,0.248,
2006-04,0.234,
2006-07,0.226,
2006-10,0.213,
2007-01,0.205,
2007-04,0.210,
2007-07,0.209,
2007-10,0.203,
2008-01,0.203,
2008-04,0.213,
2008-07,0.216,
2008-10,0.209,
2009-01,0.214,
2009-04,0.211,
2009-07,0.210,
2009-10,0.204,
2010-01,0.204,
2010-04,0.228,
2010-07,0.226,
2010-10,0.206,
2011-01,0.216,
2011-04,0.228,
2011-07,0.222,
2011-10,0.211,
2012-01,0.220,
2012-04,0.236,
2012-07,0.230,
2012-10,0.227,
2013-01,0.247,
2013-04,0.249,
2013-07,0.247,
2013-10,0.233,
2014-01,0.242,
2014-04,0.245,
2014-07,0.245,
