"",BBK01.OECO04Q,BBK01.OECO04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:01,
2002-01,-0.031,
2002-04,-0.119,
2002-07,-0.004,
2002-10,0.039,
2003-01,-0.027,
2003-04,-0.030,
2003-07,0.062,
2003-10,-0.005,
2004-01,-0.032,
2004-04,-0.014,
2004-07,0.119,
2004-10,-0.010,
2005-01,-0.069,
2005-04,-0.057,
2005-07,0.015,
2005-10,-0.071,
2006-01,0.035,
2006-04,-0.064,
2006-07,-0.079,
2006-10,-0.084,
2007-01,0.033,
2007-04,-0.049,
2007-07,-0.090,
2007-10,-0.024,
2008-01,-0.020,
2008-04,0.051,
2008-07,-0.077,
2008-10,-,Nothing exists
2009-01,0.196,
2009-04,0.129,
2009-07,0.158,
2009-10,0.051,
2010-01,0.095,
2010-04,-0.028,
2010-07,0.052,
2010-10,0.018,
2011-01,-0.052,
2011-04,-0.079,
2011-07,-0.033,
2011-10,-0.013,
2012-01,0.196,
2012-04,-0.088,
2012-07,-0.020,
2012-10,0.059,
2013-01,-0.092,
2013-04,-0.066,
2013-07,-0.079,
2013-10,-0.028,
2014-01,-0.044,
2014-04,-0.059,
2014-07,0.052,
