"",BBDE1.M.DE.Y.AEB1.A2Q400000.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2Q400000.F.V.I10.A_FLAGS
"","Orders received from the domestic market / At current prices, flows / Germany / Manufacturing excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:40,
1991-01,90.8,
1991-02,87.2,
1991-03,88.4,
1991-04,86.4,
1991-05,85.2,
1991-06,86.9,
1991-07,82.6,
1991-08,86.7,
1991-09,84.2,
1991-10,85.5,
1991-11,87.0,
1991-12,86.3,
1992-01,88.1,
1992-02,89.0,
1992-03,87.5,
1992-04,85.8,
1992-05,84.4,
1992-06,81.8,
1992-07,79.9,
1992-08,80.6,
1992-09,81.9,
1992-10,78.0,
1992-11,76.2,
1992-12,79.2,
1993-01,77.8,
1993-02,74.1,
1993-03,71.8,
1993-04,71.5,
1993-05,73.2,
1993-06,72.2,
1993-07,73.6,
1993-08,72.9,
1993-09,76.0,
1993-10,74.0,
1993-11,73.9,
1993-12,75.4,
1994-01,73.2,
1994-02,74.6,
1994-03,76.0,
1994-04,76.8,
1994-05,76.5,
1994-06,77.3,
1994-07,78.2,
1994-08,78.2,
1994-09,80.3,
1994-10,81.6,
1994-11,81.2,
1994-12,84.7,
1995-01,79.6,
1995-02,81.3,
1995-03,81.3,
1995-04,81.4,
1995-05,81.0,
1995-06,79.7,
1995-07,78.7,
1995-08,78.6,
1995-09,79.8,
1995-10,76.0,
1995-11,76.4,
1995-12,79.2,
1996-01,77.9,
1996-02,74.8,
1996-03,77.8,
1996-04,77.7,
1996-05,76.8,
1996-06,78.9,
1996-07,77.7,
1996-08,77.9,
1996-09,78.8,
1996-10,78.7,
1996-11,77.7,
1996-12,77.8,
1997-01,77.5,
1997-02,77.4,
1997-03,80.3,
1997-04,80.0,
1997-05,80.4,
1997-06,81.3,
1997-07,81.1,
1997-08,80.2,
1997-09,80.4,
1997-10,81.8,
1997-11,83.1,
1997-12,82.2,
1998-01,83.8,
1998-02,83.7,
1998-03,85.8,
1998-04,84.5,
1998-05,85.1,
1998-06,85.0,
1998-07,83.6,
1998-08,82.5,
1998-09,82.4,
1998-10,81.6,
1998-11,81.9,
