"",BBK01.CEHP03,BBK01.CEHP03_FLAGS
"",Time deposits debtor: All sectors                   creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:47,
1991-01,-15.7,
1991-04,-13.3,
1991-07,-2.0,
1991-10,62.3,
1992-01,-49.8,
1992-04,-17.1,
1992-07,9.8,
1992-10,27.3,
1993-01,-7.6,
1993-04,8.2,
1993-07,11.8,
1993-10,69.4,
1994-01,-30.8,
1994-04,-12.1,
1994-07,9.5,
1994-10,53.6,
1995-01,-15.1,
1995-04,14.8,
1995-07,27.8,
1995-10,48.8,
1996-01,8.5,
1996-04,-5.5,
1996-07,10.7,
1996-10,66.2,
1997-01,-8.7,
1997-04,20.1,
1997-07,21.1,
1997-10,70.4,
1998-01,-19.2,
1998-04,28.7,
1998-07,11.1,
1998-10,84.3,
1999-01,-91.2,
1999-04,28.7,
1999-07,62.2,
1999-10,36.7,
2000-01,-11.6,
2000-04,-9.4,
2000-07,29.3,
2000-10,90.9,
2001-01,-16.7,
2001-04,-15.0,
2001-07,33.7,
2001-10,46.9,
2002-01,-48.9,
2002-04,29.8,
2002-07,39.1,
2002-10,104.6,
2003-01,-4.3,
2003-04,63.7,
2003-07,-57.4,
2003-10,75.2,
2004-01,-49.1,
2004-04,90.3,
2004-07,-10.0,
2004-10,120.5,
2005-01,-34.2,
2005-04,53.6,
2005-07,41.9,
2005-10,26.1,
2006-01,37.3,
2006-04,68.1,
2006-07,-14.1,
2006-10,77.5,
2007-01,5.6,
2007-04,27.9,
2007-07,73.9,
2007-10,154.2,
2008-01,-103.9,
2008-04,30.8,
2008-07,111.0,
2008-10,35.9,
2009-01,-201.0,
2009-04,27.3,
2009-07,-157.1,
2009-10,6.8,
2010-01,-72.8,
2010-04,28.6,
2010-07,-188.0,
2010-10,-40.9,
2011-01,-79.9,
2011-04,-31.9,
2011-07,1.0,
2011-10,77.0,
2012-01,-37.4,
2012-04,-59.2,
2012-07,-44.1,
2012-10,-48.3,
2013-01,-64.0,
2013-04,-29.7,
2013-07,-31.7,
2013-10,22.6,
2014-01,5.9,
