"",BBSF2.M.1.T.00000.SON01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Other funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:25,
2009-09,33280,
2009-10,38296,
2009-11,61354,
2009-12,64393,
2010-01,65976,
2010-02,67421,
2010-03,72651,
2010-04,74365,
2010-05,77352,
2010-06,78747,
2010-07,87099,
2010-08,88017,
2010-09,99366,
2010-10,101042,
2010-11,106140,
2010-12,120452,
2011-01,121980,
2011-02,123717,
2011-03,125075,
2011-04,122114,
2011-05,125437,
2011-06,127685,
2011-07,128243,
2011-08,138873,
2011-09,139179,
2011-10,174171,
2011-11,231214,
2011-12,238519,
2012-01,240335,
2012-02,238263,
2012-03,235160,
2012-04,230872,
2012-05,231565,
2012-06,229013,
2012-07,231451,
2012-08,234590,
2012-09,235735,
2012-10,236097,
2012-11,247712,
2012-12,244110,
2013-01,246464,
2013-02,248805,
2013-03,252374,
2013-04,264335,
2013-05,273297,
2013-06,274683,
2013-07,280311,
2013-08,279315,
2013-09,280637,
2013-10,283811,
2013-11,283664,
2013-12,292404,
2014-01,296412,
2014-02,304105,
2014-03,310506,
2014-04,313471,
2014-05,317063,
2014-06,319198,
2014-07,324294,
2014-08,378689,
2014-09,378827,
2014-10,380777,
2014-11,369222,
