"",BBK01.OEBI04I,BBK01.OEBI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:32,
2002-01,10.108,
2002-04,9.487,
2002-07,8.843,
2002-10,8.823,
2003-01,9.391,
2003-04,8.191,
2003-07,7.309,
2003-10,6.792,
2004-01,6.124,
2004-04,5.758,
2004-07,5.801,
2004-10,6.004,
2005-01,6.956,
2005-04,5.872,
2005-07,4.921,
2005-10,5.825,
2006-01,6.985,
2006-04,6.888,
2006-07,7.103,
2006-10,7.699,
2007-01,8.157,
2007-04,8.971,
2007-07,9.625,
2007-10,11.031,
2008-01,10.796,
2008-04,11.631,
2008-07,11.809,
2008-10,11.352,
2009-01,8.382,
2009-04,7.838,
2009-07,6.379,
2009-10,4.663,
2010-01,5.775,
2010-04,5.592,
2010-07,6.111,
2010-10,4.811,
2011-01,6.770,
2011-04,7.576,
2011-07,9.404,
2011-10,8.861,
2012-01,9.992,
2012-04,11.254,
2012-07,10.581,
2012-10,8.960,
2013-01,11.536,
2013-04,13.195,
2013-07,12.012,
2013-10,10.836,
2014-01,10.799,
2014-04,11.024,
2014-07,9.696,
