"",BBK01.OELI02L,BBK01.OELI02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:34,
2002-01,11.547,
2002-04,11.726,
2002-07,11.759,
2002-10,12.328,
2003-01,12.566,
2003-04,12.917,
2003-07,13.157,
2003-10,13.504,
2004-01,13.607,
2004-04,13.785,
2004-07,13.747,
2004-10,14.058,
2005-01,14.105,
2005-04,14.391,
2005-07,14.402,
2005-10,14.818,
2006-01,14.566,
2006-04,14.597,
2006-07,14.440,
2006-10,14.556,
2007-01,14.503,
2007-04,14.715,
2007-07,14.749,
2007-10,14.804,
2008-01,14.881,
2008-04,14.645,
2008-07,14.351,
2008-10,15.249,
2009-01,16.495,
2009-04,18.144,
2009-07,19.349,
2009-10,20.387,
2010-01,21.203,
2010-04,21.986,
2010-07,22.236,
2010-10,22.432,
2011-01,22.346,
2011-04,22.501,
2011-07,22.516,
2011-10,23.070,
2012-01,23.492,
2012-04,24.307,
2012-07,25.391,
2012-10,26.364,
2013-01,27.068,
2013-04,27.848,
2013-07,28.257,
2013-10,28.581,
2014-01,29.343,
2014-04,30.176,
2014-07,30.840,
