"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Other accounts receivable / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:40,
1991-01,169.714,
1991-04,472.269,
1991-07,328.546,
1991-10,116.166,
1992-01,-357.073,
1992-04,162.091,
1992-07,154.731,
1992-10,460.556,
1993-01,-593.207,
1993-04,244.024,
1993-07,186.435,
1993-10,166.756,
1994-01,-503.064,
1994-04,177.124,
1994-07,330.773,
1994-10,-177.650,
1995-01,-124.492,
1995-04,361.428,
1995-07,495.870,
1995-10,891.585,
1996-01,-360.539,
1996-04,369.019,
1996-07,17.259,
1996-10,438.261,
1997-01,103.717,
1997-04,397.284,
1997-07,-107.664,
1997-10,838.390,
1998-01,537.676,
1998-04,242.387,
1998-07,1566.354,
1998-10,323.917,
1999-01,-201.001,
1999-04,293.010,
1999-07,394.905,
1999-10,47.387,
2000-01,443.224,
2000-04,337.573,
2000-07,663.435,
2000-10,-1129.243,
2001-01,45.129,
2001-04,-34.800,
2001-07,236.159,
2001-10,-152.158,
2002-01,-223.204,
2002-04,420.809,
2002-07,82.821,
2002-10,9.174,
2003-01,-47.907,
2003-04,599.448,
2003-07,695.728,
2003-10,338.460,
2004-01,344.128,
2004-04,738.549,
2004-07,148.678,
2004-10,-58.765,
2005-01,479.040,
2005-04,680.217,
2005-07,579.736,
2005-10,176.952,
2006-01,604.375,
2006-04,261.954,
2006-07,704.499,
2006-10,528.264,
2007-01,-112.708,
2007-04,309.572,
2007-07,229.508,
2007-10,-18.171,
2008-01,-108.694,
2008-04,234.151,
2008-07,56.234,
2008-10,-497.596,
2009-01,418.995,
2009-04,442.160,
2009-07,211.272,
2009-10,217.010,
2010-01,-1442.866,
2010-04,135.603,
2010-07,67.885,
2010-10,24.513,
2011-01,-267.468,
2011-04,359.381,
2011-07,130.073,
2011-10,-468.008,
2012-01,-56.841,
2012-04,-1153.794,
2012-07,89.214,
2012-10,-894.864,
2013-01,-168.167,
2013-04,29.672,
2013-07,-123.493,
2013-10,-619.019,
2014-01,197.085,
2014-04,-21.660,
2014-07,153.374,
