"",BBK01.OEAB16G,BBK01.OEAB16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:28,
2002-01,47.203,
2002-04,47.140,
2002-07,46.582,
2002-10,46.682,
2003-01,45.913,
2003-04,45.666,
2003-07,45.406,
2003-10,45.164,
2004-01,44.744,
2004-04,44.648,
2004-07,44.488,
2004-10,44.374,
2005-01,43.048,
2005-04,42.882,
2005-07,43.085,
2005-10,43.275,
2006-01,42.711,
2006-04,42.761,
2006-07,42.294,
2006-10,42.313,
2007-01,42.039,
2007-04,42.140,
2007-07,42.313,
2007-10,42.526,
2008-01,42.395,
2008-04,42.765,
2008-07,43.097,
2008-10,43.206,
2009-01,43.103,
2009-04,44.180,
2009-07,44.263,
2009-10,44.301,
2010-01,44.183,
2010-04,44.673,
2010-07,44.920,
2010-10,45.092,
2011-01,45.128,
2011-04,45.313,
2011-07,45.376,
2011-10,45.368,
2012-01,45.074,
2012-04,47.207,
2012-07,47.716,
2012-10,47.604,
2013-01,47.439,
2013-04,47.844,
2013-07,47.697,
2013-10,47.803,
2014-01,47.726,
2014-04,47.846,
2014-07,48.099,
