"",BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F4.T._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:52,
1991-01,312.913,
1991-04,417.903,
1991-07,120.319,
1991-10,355.953,
1992-01,534.843,
1992-04,369.908,
1992-07,404.870,
1992-10,731.118,
1993-01,620.398,
1993-04,750.697,
1993-07,199.607,
1993-10,1772.403,
1994-01,889.727,
1994-04,1023.103,
1994-07,-158.939,
1994-10,851.874,
1995-01,400.224,
1995-04,-876.830,
1995-07,153.775,
1995-10,1552.705,
1996-01,232.787,
1996-04,153.259,
1996-07,-10.229,
1996-10,343.719,
1997-01,837.924,
1997-04,73.611,
1997-07,433.572,
1997-10,230.028,
1998-01,294.364,
1998-04,84.559,
1998-07,355.226,
1998-10,230.239,
1999-01,-19.153,
1999-04,92.961,
1999-07,144.160,
1999-10,281.926,
2000-01,122.244,
2000-04,319.021,
2000-07,658.334,
2000-10,12.054,
2001-01,-159.130,
2001-04,-178.557,
2001-07,85.404,
2001-10,-4.900,
2002-01,-113.910,
2002-04,-150.740,
2002-07,60.727,
2002-10,-13.663,
2003-01,-308.989,
2003-04,5.460,
2003-07,-276.071,
2003-10,-114.885,
2004-01,-251.587,
2004-04,-103.335,
2004-07,-110.554,
2004-10,-337.588,
2005-01,-2177.700,
2005-04,-1152.649,
2005-07,-4835.334,
2005-10,-261.817,
2006-01,-497.539,
2006-04,-507.482,
2006-07,-6627.562,
2006-10,-433.868,
2007-01,-7.250,
2007-04,-96.267,
2007-07,-43.844,
2007-10,-488.643,
2008-01,-157.782,
2008-04,-92.850,
2008-07,-107.122,
2008-10,-357.391,
2009-01,927.417,
2009-04,-692.162,
2009-07,504.250,
2009-10,1686.206,
2010-01,367.034,
2010-04,10480.501,
2010-07,-567.301,
2010-10,36960.256,
2011-01,974.463,
2011-04,-1206.983,
2011-07,-2793.085,
2011-10,3345.044,
2012-01,10555.411,
2012-04,14959.352,
2012-07,-2387.199,
2012-10,23293.844,
2013-01,-23.771,
2013-04,2155.566,
2013-07,2961.290,
2013-10,-539.702,
2014-01,-1560.384,
2014-04,-297.133,
2014-07,-172.138,
