"",BBK01.CELJ01,BBK01.CELJ01_FLAGS
"",Unlisted Shares                                       debtor: Total            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:32,
1999-01,0.2,
1999-04,-1.4,
1999-07,0.4,
1999-10,3.6,
2000-01,-0.2,
2000-04,-1.7,
2000-07,2.3,
2000-10,-4.7,
2001-01,-0.1,
2001-04,4.6,
2001-07,9.8,
2001-10,7.0,
2002-01,17.7,
2002-04,9.1,
2002-07,3.0,
2002-10,11.5,
2003-01,-1.8,
2003-04,1.8,
2003-07,0.2,
2003-10,1.8,
2004-01,0.1,
2004-04,1.4,
2004-07,2.2,
2004-10,2.3,
2005-01,-0.7,
2005-04,-0.6,
2005-07,-2.9,
2005-10,1.2,
2006-01,9.2,
2006-04,-2.0,
2006-07,9.1,
2006-10,0.1,
2007-01,-13.2,
2007-04,10.2,
2007-07,-2.2,
2007-10,10.0,
2008-01,-5.1,
2008-04,-11.7,
2008-07,1.9,
2008-10,-7.1,
2009-01,8.0,
2009-04,4.2,
2009-07,3.8,
2009-10,6.1,
2010-01,0.4,
2010-04,6.7,
2010-07,0.7,
2010-10,12.7,
2011-01,1.2,
2011-04,13.3,
2011-07,-5.5,
2011-10,8.7,
2012-01,3.2,
2012-04,-3.9,
2012-07,5.5,
2012-10,17.4,
2013-01,0.6,
2013-04,-15.0,
2013-07,1.2,
2013-10,-1.5,
2014-01,1.7,
2014-04,-4.5,
2014-07,3.6,
