"",BBK01.OEAN02K,BBK01.OEAN02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:55,
2002-01,7.379,
2002-04,7.022,
2002-07,7.405,
2002-10,7.761,
2003-01,7.888,
2003-04,7.809,
2003-07,7.795,
2003-10,8.123,
2004-01,8.173,
2004-04,8.199,
2004-07,8.291,
2004-10,8.539,
2005-01,9.936,
2005-04,10.252,
2005-07,9.993,
2005-10,10.036,
2006-01,10.092,
2006-04,10.122,
2006-07,10.072,
2006-10,10.216,
2007-01,10.378,
2007-04,10.382,
2007-07,10.264,
2007-10,10.124,
2008-01,10.470,
2008-04,10.443,
2008-07,10.166,
2008-10,11.138,
2009-01,10.957,
2009-04,10.842,
2009-07,10.840,
2009-10,10.485,
2010-01,10.364,
2010-04,10.372,
2010-07,10.376,
2010-10,10.668,
2011-01,10.764,
2011-04,10.770,
2011-07,10.677,
2011-10,10.629,
2012-01,10.711,
2012-04,10.577,
2012-07,10.695,
2012-10,10.626,
2013-01,10.190,
2013-04,9.973,
2013-07,9.887,
2013-10,9.833,
2014-01,10.032,
2014-04,9.975,
2014-07,10.076,
