"",BBEX3.M.TZS.USD.CA.AB.A01,BBEX3.M.TZS.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in the United Republic of Tanzania / USD 1 = TZS ... (selling),
unit,TZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:44,
1984-01,12.6157,
1984-02,12.3274,
1984-03,12.4198,
1984-04,12.5954,
1984-05,12.6600,
1984-06,17.2601,comment
1984-07,17.5315,
1984-08,17.4882,
1984-09,17.8191,
1984-10,17.9477,
1984-11,18.0126,
1984-12,18.1956,
1985-01,18.3565,
1985-02,18.6320,
1985-03,17.8770,
1985-04,17.9015,
1985-05,17.7932,
1985-06,17.6391,
1985-07,17.0603,
1985-08,17.1831,
1985-09,16.9180,
1985-10,16.7435,
1985-11,16.4148,
1985-12,16.4969,
1986-01,16.4152,
1986-02,16.0225,
1986-03,16.1216,
1986-04,20.0501,comment
1986-05,26.1609,comment
1986-06,40.5450,comment
1986-07,41.6116,
1986-08,42.8624,
1986-09,44.8556,
1986-10,47.1095,
1986-11,49.4838,
1986-12,51.9778,
1987-01,53.7450,
1987-02,55.5724,
1987-03,57.4618,
1987-04,59.5246,
1987-05,61.6139,
1987-06,63.8012,
1987-07,66.0195,
1987-08,68.2441,
1987-09,70.5802,
1987-10,73.7130,
1987-11,76.9848,
1987-12,84.1362,
1988-01,91.9522,
1988-02,93.0689,
1988-03,94.1993,
1988-04,95.3433,
1988-05,96.5013,
1988-06,97.6733,
1988-07,97.7696,
1988-08,97.7696,
1988-09,98.6075,
1988-10,99.4531,
1988-11,122.7060,comment
1988-12,125.6253,
1989-01,129.6974,
1989-02,130.9659,
1989-03,135.4743,
1989-04,137.6093,
1989-05,138.1878,
1989-06,145.7253,
1989-07,145.7253,
1989-08,145.7253,
1989-09,145.7253,
1989-10,148.2338,
1989-11,155.7753,
1989-12,193.2618,comment
1990-01,193.8648,
1990-02,195.4125,
1990-03,194.9051,
1990-04,194.9051,
1990-05,194.9051,
1990-06,195.1713,
1990-07,195.1713,
1990-08,197.5833,
1990-09,197.5833,
1990-10,197.5833,
1990-11,197.5833,
1990-12,197.5833,
1991-01,197.5833,
1991-02,201.1307,
1991-03,204.7487,
1991-04,209.0702,
1991-05,227.9340,
1991-06,231.1802,
1991-07,231.1802,
1991-08,231.1802,
1991-09,231.1802,
1991-10,229.6825,
1991-11,233.5777,
1991-12,233.5777,
1992-01,235.0997,
1992-02,248.2652,
1992-03,291.4802,
1992-04,301.5302,
1992-05,301.5302,
1992-06,301.5302,
1992-07,330.7078,
1992-08,330.7078,
1992-09,330.7078,
1992-10,330.7078,
1992-11,340.8834,
1992-12,340.8834,
1993-01,356.1469,
