"",BBK01.OEAF11G,BBK01.OEAF11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:45,
2002-01,7.931,
2002-04,8.156,
2002-07,8.369,
2002-10,8.320,
2003-01,7.911,
2003-04,7.815,
2003-07,7.987,
2003-10,7.755,
2004-01,7.480,
2004-04,7.326,
2004-07,7.335,
2004-10,7.097,
2005-01,7.014,
2005-04,7.029,
2005-07,7.176,
2005-10,6.995,
2006-01,6.709,
2006-04,6.716,
2006-07,6.844,
2006-10,6.687,
2007-01,6.583,
2007-04,6.398,
2007-07,6.411,
2007-10,6.396,
2008-01,6.370,
2008-04,6.465,
2008-07,6.292,
2008-10,6.786,
2009-01,7.034,
2009-04,7.228,
2009-07,7.190,
2009-10,7.073,
2010-01,7.195,
2010-04,7.428,
2010-07,7.509,
2010-10,7.221,
2011-01,7.176,
2011-04,7.229,
2011-07,7.127,
2011-10,6.980,
2012-01,6.712,
2012-04,6.781,
2012-07,6.655,
2012-10,6.582,
2013-01,6.425,
2013-04,6.300,
2013-07,6.296,
2013-10,5.788,
2014-01,5.731,
2014-04,5.919,
2014-07,5.558,
