"",BBK01.OEBB24R,BBK01.OEBB24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:33,
2002-01,0.749,
2002-04,0.749,
2002-07,0.763,
2002-10,0.791,
2003-01,0.787,
2003-04,0.776,
2003-07,0.776,
2003-10,0.791,
2004-01,0.792,
2004-04,0.789,
2004-07,0.782,
2004-10,0.788,
2005-01,0.888,
2005-04,0.873,
2005-07,0.865,
2005-10,0.845,
2006-01,0.838,
2006-04,0.827,
2006-07,0.840,
2006-10,0.820,
2007-01,0.853,
2007-04,0.788,
2007-07,0.782,
2007-10,0.751,
2008-01,0.792,
2008-04,0.763,
2008-07,0.751,
2008-10,0.660,
2009-01,0.665,
2009-04,0.647,
2009-07,0.655,
2009-10,0.591,
2010-01,0.721,
2010-04,0.719,
2010-07,0.748,
2010-10,0.795,
2011-01,0.804,
2011-04,0.804,
2011-07,0.798,
2011-10,0.813,
2012-01,0.814,
2012-04,0.820,
2012-07,0.814,
2012-10,0.831,
2013-01,0.811,
2013-04,0.816,
2013-07,0.845,
2013-10,0.866,
2014-01,0.878,
2014-04,0.887,
2014-07,0.883,
