"",BBK01.OEAH26L,BBK01.OEAH26L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:13,
2002-01,34.475,
2002-04,33.675,
2002-07,34.115,
2002-10,35.754,
2003-01,36.255,
2003-04,36.443,
2003-07,36.580,
2003-10,37.173,
2004-01,37.135,
2004-04,37.298,
2004-07,37.520,
2004-10,38.266,
2005-01,41.615,
2005-04,41.603,
2005-07,41.312,
2005-10,41.862,
2006-01,41.691,
2006-04,41.341,
2006-07,40.552,
2006-10,39.901,
2007-01,38.370,
2007-04,36.922,
2007-07,35.047,
2007-10,33.739,
2008-01,32.404,
2008-04,31.722,
2008-07,30.681,
2008-10,30.579,
2009-01,31.541,
2009-04,32.741,
2009-07,34.681,
2009-10,36.623,
2010-01,38.252,
2010-04,36.562,
2010-07,37.427,
2010-10,38.694,
2011-01,39.419,
2011-04,37.632,
2011-07,37.369,
2011-10,37.392,
2012-01,37.748,
2012-04,37.577,
2012-07,37.485,
2012-10,37.683,
2013-01,37.647,
2013-04,37.659,
2013-07,37.707,
2013-10,37.999,
2014-01,37.385,
2014-04,36.753,
2014-07,36.467,
