"",BBK01.OEYB02V,BBK01.OEYB02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:00,
2002-01,0.713,
2002-04,1.242,
2002-07,0.923,
2002-10,1.874,
2003-01,1.124,
2003-04,1.187,
2003-07,0.840,
2003-10,1.175,
2004-01,1.064,
2004-04,0.815,
2004-07,0.738,
2004-10,0.882,
2005-01,0.725,
2005-04,0.748,
2005-07,1.068,
2005-10,2.133,
2006-01,2.633,
2006-04,2.570,
2006-07,2.846,
2006-10,2.846,
2007-01,3.013,
2007-04,3.006,
2007-07,9.684,
2007-10,6.806,
2008-01,6.384,
2008-04,0.406,
2008-07,0.408,
2008-10,0.386,
2009-01,0.293,
2009-04,0.266,
2009-07,0.244,
2009-10,0.370,
2010-01,0.359,
2010-04,1.418,
2010-07,1.039,
2010-10,0.879,
2011-01,0.870,
2011-04,0.806,
2011-07,1.137,
2011-10,1.210,
2012-01,1.047,
2012-04,1.098,
2012-07,1.022,
2012-10,0.792,
2013-01,0.786,
2013-04,0.615,
2013-07,0.744,
2013-10,0.638,
2014-01,0.580,
2014-04,0.476,
2014-07,0.562,
