"",BBK01.OEAH34T,BBK01.OEAH34T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:51,
2002-01,0.009,
2002-04,0.007,
2002-07,0.007,
2002-10,0.016,
2003-01,0.016,
2003-04,0.015,
2003-07,0.016,
2003-10,0.011,
2004-01,0.014,
2004-04,0.015,
2004-07,0.015,
2004-10,0.014,
2005-01,0.016,
2005-04,0.014,
2005-07,0.048,
2005-10,0.052,
2006-01,0.052,
2006-04,0.052,
2006-07,0.022,
2006-10,0.022,
2007-01,0.021,
2007-04,0.025,
2007-07,0.034,
2007-10,0.045,
2008-01,0.053,
2008-04,0.066,
2008-07,0.076,
2008-10,0.058,
2009-01,0.057,
2009-04,0.050,
2009-07,0.038,
2009-10,0.052,
2010-01,0.050,
2010-04,0.053,
2010-07,0.038,
2010-10,0.039,
2011-01,0.033,
2011-04,0.042,
2011-07,0.044,
2011-10,0.051,
2012-01,0.061,
2012-04,0.063,
2012-07,0.062,
2012-10,0.052,
2013-01,0.040,
2013-04,0.047,
2013-07,0.044,
2013-10,0.041,
2014-01,0.039,
2014-04,0.034,
2014-07,0.034,
