"",BBK01.OEAL08K,BBK01.OEAL08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:41,
2002-01,9.950,
2002-04,9.441,
2002-07,9.439,
2002-10,9.924,
2003-01,10.180,
2003-04,10.107,
2003-07,10.061,
2003-10,10.195,
2004-01,10.137,
2004-04,10.238,
2004-07,10.288,
2004-10,10.609,
2005-01,11.707,
2005-04,11.818,
2005-07,11.673,
2005-10,11.560,
2006-01,11.544,
2006-04,11.478,
2006-07,11.345,
2006-10,11.432,
2007-01,11.466,
2007-04,11.203,
2007-07,10.917,
2007-10,11.045,
2008-01,11.180,
2008-04,11.029,
2008-07,10.684,
2008-10,11.174,
2009-01,11.133,
2009-04,11.015,
2009-07,11.089,
2009-10,11.090,
2010-01,11.277,
2010-04,11.184,
2010-07,11.264,
2010-10,11.511,
2011-01,11.513,
2011-04,11.509,
2011-07,11.366,
2011-10,11.318,
2012-01,11.529,
2012-04,11.449,
2012-07,11.717,
2012-10,11.846,
2013-01,11.765,
2013-04,11.696,
2013-07,11.718,
2013-10,11.833,
2014-01,12.305,
2014-04,12.453,
2014-07,12.567,
