"",BBSF2.M.1.T.00000.ALT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.ALT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Pension investment funds / Long-term debt securities / World not allocated (geographically) / All issuer sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:18,
2009-09,162,
2009-10,165,
2009-11,166,
2009-12,167,
2010-01,107,
2010-02,107,
2010-03,109,
2010-04,110,
2010-05,110,
2010-06,108,
2010-07,148,
2010-08,147,
2010-09,146,
2010-10,143,
2010-11,157,
2010-12,156,
2011-01,146,
2011-02,157,
2011-03,156,
2011-04,163,
2011-05,168,
2011-06,169,
2011-07,167,
2011-08,170,
2011-09,235,
2011-10,227,
2011-11,239,
2011-12,252,
2012-01,278,
2012-02,285,
2012-03,270,
2012-04,277,
2012-05,284,
2012-06,264,
2012-07,272,
2012-08,265,
2012-09,271,
2012-10,255,
2012-11,236,
2012-12,245,
2013-01,249,
2013-02,250,
2013-03,250,
2013-04,246,
2013-05,247,
2013-06,239,
2013-07,239,
2013-08,242,
2013-09,243,
2013-10,247,
2013-11,242,
2013-12,241,
2014-01,233,
2014-02,235,
2014-03,235,
2014-04,234,
2014-05,237,
2014-06,242,
2014-07,240,
2014-08,241,
2014-09,241,
2014-10,242,
2014-11,232,
