"",BBAI3.Q.DE.N.V.LE.F33.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:43,
2005-10,22598,
2006-01,22926,
2006-04,23031,
2006-07,23690,
2006-10,22359,
2007-01,23193,
2007-04,22390,
2007-07,23680,
2007-10,24397,
2008-01,22934,
2008-04,23630,
2008-07,23788,
2008-10,25644,
2009-01,23825,
2009-04,26002,
2009-07,27451,
2009-10,27689,
2010-01,30078,
2010-04,30225,
2010-07,30345,
2010-10,39505,
2011-01,38051,
2011-04,37300,
2011-07,37087,
2011-10,34857,
2012-01,36928,
2012-04,38991,
2012-07,40866,
2012-10,42009,
2013-01,42503,
2013-04,44221,
2013-07,45206,
2013-10,49272,
2014-01,49981,
2014-04,52632,
2014-07,56433,
