"",BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:26,
1991-01,-62.688,
1991-04,-47.980,
1991-07,-75.069,
1991-10,-56.994,
1992-01,118.955,
1992-04,-9.349,
1992-07,-235.599,
1992-10,-13.537,
1993-01,71.968,
1993-04,13.276,
1993-07,18.754,
1993-10,277.604,
1994-01,210.529,
1994-04,76.193,
1994-07,-589.672,
1994-10,-132.814,
1995-01,1.065,
1995-04,-85.810,
1995-07,-169.132,
1995-10,98.493,
1996-01,-35.875,
1996-04,-5.345,
1996-07,-11.820,
1996-10,14.975,
1997-01,-16.493,
1997-04,-0.597,
1997-07,-593.482,
1997-10,264.045,
1998-01,-8.749,
1998-04,46.212,
1998-07,-207.553,
1998-10,226.260,
1999-01,-68.752,
1999-04,-33.530,
1999-07,-44.310,
1999-10,-96.836,
2000-01,-378.945,
2000-04,-326.955,
2000-07,22.275,
2000-10,47.131,
2001-01,-23.311,
2001-04,16.572,
2001-07,-22.437,
2001-10,352.662,
2002-01,5.560,
2002-04,-108.578,
2002-07,-33.783,
2002-10,108.242,
2003-01,-41.024,
2003-04,126.146,
2003-07,14.347,
2003-10,199.225,
2004-01,366.261,
2004-04,297.624,
2004-07,-3.992,
2004-10,-300.441,
2005-01,451.581,
2005-04,50.706,
2005-07,12.285,
2005-10,597.580,
2006-01,850.429,
2006-04,822.230,
2006-07,478.802,
2006-10,162.843,
2007-01,1081.479,
2007-04,-246.459,
2007-07,680.479,
2007-10,-1000.051,
2008-01,1039.381,
2008-04,565.915,
2008-07,76.037,
2008-10,132.906,
2009-01,-671.122,
2009-04,32.961,
2009-07,15.562,
2009-10,15.535,
2010-01,102.937,
2010-04,-70.861,
2010-07,226.019,
2010-10,-146.514,
2011-01,10.310,
2011-04,294.819,
2011-07,-44.684,
2011-10,25.985,
2012-01,64.749,
2012-04,553.286,
2012-07,79.333,
2012-10,-307.348,
2013-01,1513.309,
2013-04,-77.929,
2013-07,-361.785,
2013-10,-28.507,
2014-01,-537.309,Provisional value
2014-04,-657.828,Provisional value
2014-07,151.674,Provisional value
2014-10,-743.940,Provisional value
