"",BBSF2.M.1.T.00000.IMM01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Real estate funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:50,
2009-09,7236,
2009-10,7401,
2009-11,7424,
2009-12,7280,
2010-01,7544,
2010-02,7759,
2010-03,7747,
2010-04,7734,
2010-05,7615,
2010-06,7472,
2010-07,7371,
2010-08,7568,
2010-09,7626,
2010-10,7680,
2010-11,7624,
2010-12,7322,
2011-01,7185,
2011-02,7176,
2011-03,6748,
2011-04,6617,
2011-05,6658,
2011-06,6516,
2011-07,6409,
2011-08,6415,
2011-09,6150,
2011-10,6519,
2011-11,6371,
2011-12,6484,
2012-01,6528,
2012-02,6524,
2012-03,6626,
2012-04,6650,
2012-05,6271,
2012-06,6536,
2012-07,6322,
2012-08,6580,
2012-09,6727,
2012-10,6960,
2012-11,7182,
2012-12,6999,
2013-01,7380,
2013-02,7825,
2013-03,7922,
2013-04,8523,
2013-05,8153,
2013-06,8330,
2013-07,8691,
2013-08,8899,
2013-09,8895,
2013-10,8953,
2013-11,8841,
2013-12,8654,
2014-01,8791,
2014-02,9042,
2014-03,9149,
2014-04,8773,
2014-05,9137,
2014-06,9030,
2014-07,9007,
2014-08,8984,
2014-09,8968,
2014-10,8515,
2014-11,9328,
