"",BBK01.OELB12I,BBK01.OELB12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:32,
2002-01,1.351,
2002-04,1.485,
2002-07,1.515,
2002-10,1.647,
2003-01,1.648,
2003-04,1.781,
2003-07,1.863,
2003-10,1.822,
2004-01,1.789,
2004-04,1.852,
2004-07,1.942,
2004-10,2.101,
2005-01,2.128,
2005-04,2.169,
2005-07,2.131,
2005-10,2.208,
2006-01,2.236,
2006-04,1.755,
2006-07,1.771,
2006-10,1.725,
2007-01,1.777,
2007-04,1.802,
2007-07,1.840,
2007-10,1.871,
2008-01,1.888,
2008-04,1.880,
2008-07,1.956,
2008-10,2.021,
2009-01,2.050,
2009-04,2.113,
2009-07,2.174,
2009-10,2.236,
2010-01,2.194,
2010-04,2.292,
2010-07,2.316,
2010-10,2.360,
2011-01,2.418,
2011-04,2.488,
2011-07,2.638,
2011-10,2.424,
2012-01,2.479,
2012-04,2.624,
2012-07,2.718,
2012-10,2.842,
2013-01,2.903,
2013-04,3.042,
2013-07,3.168,
2013-10,3.227,
2014-01,3.234,
2014-04,3.400,
2014-07,3.473,
