"",BBDE1.M.DE.Y.AEP5.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEP5.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At current prices, flows / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:11,
2010-01,89.4,
2010-02,93.6,
2010-03,94.8,
2010-04,99.2,
2010-05,99.6,
2010-06,101.0,
2010-07,103.0,
2010-08,102.3,
2010-09,99.8,
2010-10,101.4,
2010-11,105.7,
2010-12,107.8,
2011-01,107.0,
2011-02,107.1,
2011-03,109.3,
2011-04,106.5,
2011-05,105.0,
2011-06,108.2,
2011-07,106.9,
2011-08,104.0,
2011-09,102.8,
2011-10,103.0,
2011-11,99.7,
2011-12,115.3,
2012-01,106.7,
2012-02,109.0,
2012-03,103.8,
2012-04,105.1,
2012-05,108.8,
2012-06,105.7,
2012-07,105.0,
2012-08,106.8,
2012-09,102.4,
2012-10,105.4,
2012-11,103.0,
2012-12,103.0,
2013-01,103.2,
2013-02,103.3,
2013-03,103.1,
2013-04,106.6,
2013-05,104.7,
2013-06,100.0,
2013-07,106.3,
2013-08,103.2,
2013-09,107.2,
2013-10,111.3,
2013-11,105.5,
2013-12,104.2,
2014-01,108.0,
2014-02,111.8,
2014-03,104.2,
2014-04,107.1,
2014-05,103.8,
2014-06,108.9,
2014-07,109.7,
2014-08,105.6,
2014-09,111.7,
2014-10,109.9,
2014-11,116.3,
2014-12,112.1,Provisional value
