"",BBK01.OEAH26R,BBK01.OEAH26R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:41,
2002-01,5.162,
2002-04,5.032,
2002-07,5.098,
2002-10,5.328,
2003-01,5.425,
2003-04,5.401,
2003-07,5.479,
2003-10,5.588,
2004-01,5.637,
2004-04,5.617,
2004-07,5.625,
2004-10,5.738,
2005-01,6.354,
2005-04,6.351,
2005-07,6.414,
2005-10,6.524,
2006-01,6.459,
2006-04,6.371,
2006-07,6.304,
2006-10,6.239,
2007-01,6.087,
2007-04,6.001,
2007-07,5.906,
2007-10,5.974,
2008-01,5.941,
2008-04,5.867,
2008-07,5.779,
2008-10,5.832,
2009-01,5.922,
2009-04,5.943,
2009-07,6.066,
2009-10,6.265,
2010-01,6.319,
2010-04,6.351,
2010-07,6.417,
2010-10,6.564,
2011-01,6.656,
2011-04,6.618,
2011-07,6.573,
2011-10,6.651,
2012-01,6.739,
2012-04,6.698,
2012-07,6.760,
2012-10,6.894,
2013-01,6.933,
2013-04,6.926,
2013-07,7.032,
2013-10,7.143,
2014-01,7.184,
2014-04,7.144,
2014-07,7.183,
