"",BBK01.OEBB22M,BBK01.OEBB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:34,
2002-01,0.165,
2002-04,0.233,
2002-07,0.155,
2002-10,0.354,
2003-01,0.182,
2003-04,0.176,
2003-07,0.153,
2003-10,0.115,
2004-01,0.150,
2004-04,0.159,
2004-07,0.133,
2004-10,0.152,
2005-01,0.111,
2005-04,0.132,
2005-07,0.132,
2005-10,0.156,
2006-01,0.190,
2006-04,0.113,
2006-07,0.094,
2006-10,0.112,
2007-01,0.133,
2007-04,0.118,
2007-07,0.068,
2007-10,0.198,
2008-01,0.260,
2008-04,0.228,
2008-07,0.191,
2008-10,0.077,
2009-01,0.065,
2009-04,0.065,
2009-07,0.066,
2009-10,0.049,
2010-01,0.102,
2010-04,0.088,
2010-07,0.105,
2010-10,0.084,
2011-01,0.109,
2011-04,0.103,
2011-07,0.092,
2011-10,0.042,
2012-01,0.083,
2012-04,0.107,
2012-07,0.141,
2012-10,0.025,
2013-01,0.437,
2013-04,0.413,
2013-07,0.377,
2013-10,0.398,
2014-01,0.441,
2014-04,0.497,
2014-07,0.477,
