"",BBK01.OECJ04R,BBK01.OECJ04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:33,
2002-01,0.141,
2002-04,0.133,
2002-07,0.128,
2002-10,0.123,
2003-01,0.120,
2003-04,0.147,
2003-07,0.094,
2003-10,0.100,
2004-01,0.077,
2004-04,0.068,
2004-07,0.066,
2004-10,0.118,
2005-01,0.096,
2005-04,0.081,
2005-07,0.073,
2005-10,0.076,
2006-01,0.076,
2006-04,0.077,
2006-07,0.080,
2006-10,0.081,
2007-01,0.083,
2007-04,0.099,
2007-07,0.138,
2007-10,0.146,
2008-01,0.156,
2008-04,0.149,
2008-07,0.173,
2008-10,0.147,
2009-01,0.099,
2009-04,0.098,
2009-07,0.100,
2009-10,0.087,
2010-01,0.078,
2010-04,0.075,
2010-07,0.074,
2010-10,0.082,
2011-01,0.096,
2011-04,0.095,
2011-07,0.093,
2011-10,0.096,
2012-01,0.105,
2012-04,0.106,
2012-07,0.126,
2012-10,0.094,
2013-01,0.086,
2013-04,0.086,
2013-07,0.090,
2013-10,0.091,
2014-01,0.084,
2014-04,0.087,
2014-07,0.067,
