"",BBFB1.Q.N.DE.CZ.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:45,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,4.052,
1993-04,6.123,
1993-07,7.328,
1993-10,6.762,
1994-01,-3.625,
1994-04,-3.644,
1994-07,-3.283,
1994-10,1.922,
1995-01,53.911,
1995-04,58.305,
1995-07,60.679,
1995-10,59.901,
1996-01,-18.622,
1996-04,-16.419,
1996-07,-15.775,
1996-10,-15.655,
1997-01,-28.896,
1997-04,-12.956,
1997-07,-27.592,
1997-10,-18.102,
1998-01,46.175,
1998-04,44.331,
1998-07,67.798,
1998-10,47.098,
1999-01,108.359,
1999-04,123.432,
1999-07,122.285,
1999-10,151.431,
2000-01,169.271,
2000-04,184.670,
2000-07,170.600,
2000-10,177.157,
2001-01,102.065,
2001-04,1.764,
2001-07,42.383,
2001-10,84.002,
2002-01,111.454,
2002-04,127.349,
2002-07,127.137,
2002-10,139.473,
2003-01,137.242,
2003-04,156.580,
2003-07,163.384,
2003-10,184.908,
2004-01,303.113,
2004-04,297.834,
2004-07,344.465,
2004-10,339.784,
2005-01,381.075,
2005-04,382.347,
2005-07,405.060,
2005-10,426.284,
2006-01,483.484,
2006-04,488.537,
2006-07,506.925,
2006-10,524.750,
2007-01,583.726,
2007-04,548.408,
2007-07,487.262,
2007-10,395.869,
2008-01,400.536,
2008-04,249.710,
2008-07,228.893,
2008-10,316.921,
2009-01,287.473,
2009-04,288.996,
2009-07,322.436,
2009-10,337.294,
2010-01,432.786,
2010-04,461.182,
2010-07,489.758,
2010-10,523.564,
2011-01,482.584,
2011-04,494.802,
2011-07,506.699,
2011-10,510.721,
2012-01,501.014,
2012-04,499.735,
2012-07,509.144,
2012-10,500.134,
2013-01,396.434,
2013-04,397.434,
2013-07,394.665,
2013-10,392.262,
2014-01,383.511,Provisional value
2014-04,390.270,Provisional value
2014-07,400.387,Provisional value
