"",BBK01.OEAH05V,BBK01.OEAH05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:48,
2002-01,5.824,
2002-04,5.832,
2002-07,5.915,
2002-10,6.261,
2003-01,6.408,
2003-04,6.525,
2003-07,6.528,
2003-10,6.410,
2004-01,6.411,
2004-04,7.340,
2004-07,7.178,
2004-10,7.116,
2005-01,7.227,
2005-04,7.411,
2005-07,7.948,
2005-10,7.897,
2006-01,7.731,
2006-04,7.852,
2006-07,7.823,
2006-10,7.906,
2007-01,8.080,
2007-04,8.082,
2007-07,7.958,
2007-10,8.198,
2008-01,8.167,
2008-04,3.129,
2008-07,3.160,
2008-10,3.184,
2009-01,3.287,
2009-04,1.995,
2009-07,2.070,
2009-10,3.598,
2010-01,3.768,
2010-04,3.524,
2010-07,3.041,
2010-10,2.944,
2011-01,3.113,
2011-04,3.106,
2011-07,3.872,
2011-10,3.818,
2012-01,4.066,
2012-04,4.193,
2012-07,4.048,
2012-10,3.698,
2013-01,3.845,
2013-04,3.671,
2013-07,3.637,
2013-10,3.561,
2014-01,3.608,
2014-04,3.661,
2014-07,3.714,
