"",BBK01.OEBI01N,BBK01.OEBI01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:14,
2002-01,138.227,
2002-04,139.773,
2002-07,139.042,
2002-10,148.780,
2003-01,146.353,
2003-04,144.790,
2003-07,143.182,
2003-10,151.595,
2004-01,147.541,
2004-04,144.560,
2004-07,145.994,
2004-10,77.419,
2005-01,100.573,
2005-04,102.556,
2005-07,97.527,
2005-10,99.706,
2006-01,99.761,
2006-04,105.824,
2006-07,103.489,
2006-10,107.215,
2007-01,109.249,
2007-04,112.462,
2007-07,122.901,
2007-10,127.525,
2008-01,131.079,
2008-04,134.572,
2008-07,136.694,
2008-10,157.013,
2009-01,153.212,
2009-04,155.777,
2009-07,162.792,
2009-10,160.980,
2010-01,154.437,
2010-04,165.777,
2010-07,155.675,
2010-10,165.720,
2011-01,160.174,
2011-04,170.447,
2011-07,168.713,
2011-10,179.830,
2012-01,171.784,
2012-04,179.861,
2012-07,174.219,
2012-10,175.231,
2013-01,172.727,
2013-04,172.590,
2013-07,171.975,
2013-10,170.742,
2014-01,173.370,
2014-04,169.659,
2014-07,173.565,
