"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F519._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F519._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Sonstige Anteilsrechte / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:37,
1991-01,-55.719,
1991-04,203.007,
1991-07,134.207,
1991-10,70.884,
1992-01,644.897,
1992-04,139.491,
1992-07,97.709,
1992-10,170.383,
1993-01,874.525,
1993-04,79.743,
1993-07,106.936,
1993-10,141.742,
1994-01,753.107,
1994-04,114.400,
1994-07,315.641,
1994-10,86.001,
1995-01,623.714,
1995-04,80.194,
1995-07,86.612,
1995-10,100.564,
1996-01,622.884,
1996-04,19.113,
1996-07,515.058,
1996-10,529.909,
1997-01,177.750,
1997-04,38.116,
1997-07,815.279,
1997-10,160.279,
1998-01,317.597,
1998-04,433.241,
1998-07,171.393,
1998-10,393.412,
1999-01,134.323,
1999-04,451.702,
1999-07,19.260,
1999-10,351.071,
2000-01,230.378,
2000-04,287.289,
2000-07,130.512,
2000-10,606.296,
2001-01,109.806,
2001-04,165.863,
2001-07,263.294,
2001-10,109.200,
2002-01,534.956,
2002-04,36.864,
2002-07,221.085,
2002-10,198.316,
2003-01,608.311,
2003-04,229.682,
2003-07,156.042,
2003-10,306.570,
2004-01,548.762,
2004-04,-73.438,
2004-07,563.499,
2004-10,648.795,
2005-01,382.597,
2005-04,419.004,
2005-07,591.944,
2005-10,457.882,
2006-01,578.353,
2006-04,520.950,
2006-07,522.403,
2006-10,749.100,
2007-01,1067.263,
2007-04,1252.482,
2007-07,1446.177,
2007-10,2486.846,
2008-01,1772.460,
2008-04,830.166,
2008-07,1646.573,
2008-10,-380.182,
2009-01,428.083,
2009-04,275.150,
2009-07,672.238,
2009-10,757.520,
2010-01,1171.422,
2010-04,560.059,
2010-07,762.871,
2010-10,540.374,
2011-01,862.284,
2011-04,678.385,
2011-07,729.685,
2011-10,1579.040,
2012-01,1044.653,
2012-04,414.535,
2012-07,221.820,
2012-10,11585.036,
2013-01,497.962,
2013-04,4672.336,
2013-07,254.799,
2013-10,4773.494,
2014-01,199.098,
2014-04,4172.413,
2014-07,199.651,
