"",BBK01.OECI09J,BBK01.OECI09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:13,
2002-01,0.036,
2002-04,0.035,
2002-07,0.035,
2002-10,0.034,
2003-01,0.032,
2003-04,0.032,
2003-07,0.031,
2003-10,0.031,
2004-01,0.029,
2004-04,0.028,
2004-07,0.027,
2004-10,0.027,
2005-01,0.028,
2005-04,0.028,
2005-07,0.026,
2005-10,0.026,
2006-01,0.026,
2006-04,0.029,
2006-07,0.031,
2006-10,0.032,
2007-01,0.040,
2007-04,0.042,
2007-07,0.048,
2007-10,0.049,
2008-01,0.050,
2008-04,0.051,
2008-07,0.057,
2008-10,0.078,
2009-01,0.077,
2009-04,0.078,
2009-07,0.080,
2009-10,0.067,
2010-01,0.057,
2010-04,0.057,
2010-07,0.055,
2010-10,0.059,
2011-01,0.070,
2011-04,0.077,
2011-07,0.077,
2011-10,0.082,
2012-01,0.090,
2012-04,0.075,
2012-07,0.070,
2012-10,0.060,
2013-01,0.040,
2013-04,0.039,
2013-07,0.037,
2013-10,0.035,
2014-01,0.035,
2014-04,0.034,
2014-07,0.036,
