"",BBK01.OECI04M,BBK01.OECI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:41,
2002-01,1.954,
2002-04,1.928,
2002-07,1.868,
2002-10,1.940,
2003-01,1.778,
2003-04,1.771,
2003-07,1.521,
2003-10,1.597,
2004-01,1.475,
2004-04,1.360,
2004-07,1.336,
2004-10,1.702,
2005-01,1.704,
2005-04,1.836,
2005-07,1.710,
2005-10,2.244,
2006-01,2.185,
2006-04,2.262,
2006-07,2.345,
2006-10,2.393,
2007-01,2.478,
2007-04,2.350,
2007-07,2.938,
2007-10,3.216,
2008-01,3.429,
2008-04,3.657,
2008-07,4.255,
2008-10,4.567,
2009-01,4.066,
2009-04,3.723,
2009-07,2.978,
2009-10,1.916,
2010-01,1.544,
2010-04,1.500,
2010-07,1.545,
2010-10,1.458,
2011-01,1.451,
2011-04,1.643,
2011-07,1.645,
2011-10,2.126,
2012-01,2.511,
2012-04,2.559,
2012-07,3.114,
2012-10,2.224,
2013-01,2.580,
2013-04,2.458,
2013-07,2.461,
2013-10,1.821,
2014-01,1.987,
2014-04,2.124,
2014-07,2.080,
