"",BBK01.OEHK04O,BBK01.OEHK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:45,
2002-01,0.514,
2002-04,0.496,
2002-07,0.497,
2002-10,0.483,
2003-01,0.485,
2003-04,0.473,
2003-07,0.471,
2003-10,0.449,
2004-01,0.445,
2004-04,0.431,
2004-07,0.418,
2004-10,0.397,
2005-01,0.384,
2005-04,0.372,
2005-07,0.379,
2005-10,0.368,
2006-01,0.386,
2006-04,0.381,
2006-07,0.409,
2006-10,0.435,
2007-01,0.414,
2007-04,0.410,
2007-07,0.451,
2007-10,0.496,
2008-01,0.524,
2008-04,0.550,
2008-07,0.598,
2008-10,0.683,
2009-01,0.540,
2009-04,0.419,
2009-07,0.337,
2009-10,0.294,
2010-01,0.248,
2010-04,0.239,
2010-07,0.246,
2010-10,0.238,
2011-01,0.249,
2011-04,0.241,
2011-07,0.258,
2011-10,0.261,
2012-01,0.250,
2012-04,0.224,
2012-07,0.207,
2012-10,0.190,
2013-01,0.151,
2013-04,0.149,
2013-07,0.132,
2013-10,0.129,
2014-01,0.123,
2014-04,0.123,
2014-07,0.120,
