"",BBK01.OEBL07N,BBK01.OEBL07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:54,
2002-01,39.560,
2002-04,37.681,
2002-07,37.754,
2002-10,41.000,
2003-01,42.276,
2003-04,42.413,
2003-07,43.606,
2003-10,45.699,
2004-01,46.282,
2004-04,46.306,
2004-07,47.200,
2004-10,12.525,
2005-01,20.007,
2005-04,19.906,
2005-07,19.223,
2005-10,18.938,
2006-01,18.686,
2006-04,18.497,
2006-07,18.186,
2006-10,18.304,
2007-01,19.344,
2007-04,19.717,
2007-07,19.973,
2007-10,20.998,
2008-01,21.295,
2008-04,21.704,
2008-07,21.517,
2008-10,24.519,
2009-01,24.772,
2009-04,25.382,
2009-07,26.709,
2009-10,26.300,
2010-01,25.135,
2010-04,24.585,
2010-07,24.258,
2010-10,25.282,
2011-01,25.829,
2011-04,25.165,
2011-07,24.849,
2011-10,24.550,
2012-01,25.469,
2012-04,25.160,
2012-07,24.879,
2012-10,24.333,
2013-01,22.699,
2013-04,21.879,
2013-07,21.430,
2013-10,21.466,
2014-01,21.073,
2014-04,20.634,
2014-07,21.619,
