"",BBK01.OEAE36N,BBK01.OEAE36N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:47,
2002-01,10.970,
2002-04,10.894,
2002-07,10.573,
2002-10,11.810,
2003-01,10.985,
2003-04,10.528,
2003-07,10.442,
2003-10,10.442,
2004-01,10.494,
2004-04,10.571,
2004-07,10.494,
2004-10,11.214,
2005-01,11.427,
2005-04,11.514,
2005-07,11.440,
2005-10,11.561,
2006-01,11.369,
2006-04,11.713,
2006-07,11.392,
2006-10,11.182,
2007-01,11.319,
2007-04,11.259,
2007-07,11.219,
2007-10,11.269,
2008-01,11.417,
2008-04,11.607,
2008-07,11.314,
2008-10,9.957,
2009-01,7.898,
2009-04,7.688,
2009-07,7.562,
2009-10,7.135,
2010-01,7.716,
2010-04,7.579,
2010-07,7.700,
2010-10,7.704,
2011-01,7.667,
2011-04,7.513,
2011-07,7.336,
2011-10,7.314,
2012-01,7.223,
2012-04,7.153,
2012-07,7.241,
2012-10,6.960,
2013-01,7.674,
2013-04,6.978,
2013-07,6.711,
2013-10,6.763,
2014-01,6.687,
2014-04,6.387,
2014-07,6.437,
