"",BBK01.OEAC13I,BBK01.OEAC13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:55,
2002-01,10.773,
2002-04,10.560,
2002-07,10.430,
2002-10,10.216,
2003-01,10.136,
2003-04,10.047,
2003-07,9.100,
2003-10,8.115,
2004-01,7.448,
2004-04,7.270,
2004-07,7.132,
2004-10,7.232,
2005-01,6.960,
2005-04,6.631,
2005-07,5.922,
2005-10,5.653,
2006-01,5.437,
2006-04,5.478,
2006-07,5.506,
2006-10,5.501,
2007-01,5.587,
2007-04,5.533,
2007-07,5.548,
2007-10,5.147,
2008-01,4.792,
2008-04,4.767,
2008-07,4.944,
2008-10,4.995,
2009-01,5.000,
2009-04,4.988,
2009-07,6.030,
2009-10,6.088,
2010-01,5.740,
2010-04,5.266,
2010-07,5.774,
2010-10,5.974,
2011-01,6.107,
2011-04,5.670,
2011-07,6.249,
2011-10,6.596,
2012-01,6.507,
2012-04,6.821,
2012-07,6.704,
2012-10,6.305,
2013-01,6.317,
2013-04,6.258,
2013-07,6.244,
2013-10,7.723,
2014-01,7.797,
2014-04,7.820,
2014-07,8.025,
