"",BBK01.OEAA28H,BBK01.OEAA28H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:53,
2002-01,0.284,
2002-04,0.225,
2002-07,0.212,
2002-10,0.191,
2003-01,0.202,
2003-04,0.189,
2003-07,0.157,
2003-10,0.157,
2004-01,0.163,
2004-04,0.110,
2004-07,0.112,
2004-10,0.141,
2005-01,0.136,
2005-04,0.135,
2005-07,0.099,
2005-10,0.101,
2006-01,0.093,
2006-04,0.065,
2006-07,0.054,
2006-10,0.051,
2007-01,0.045,
2007-04,0.037,
2007-07,0.022,
2007-10,0.030,
2008-01,0.022,
2008-04,0.023,
2008-07,0.019,
2008-10,0.047,
2009-01,0.025,
2009-04,0.017,
2009-07,0.017,
2009-10,0.019,
2010-01,0.016,
2010-04,0.011,
2010-07,0.011,
2010-10,0.014,
2011-01,0.010,
2011-04,0.007,
2011-07,0.005,
2011-10,0.004,
2012-01,0.004,
2012-04,0.004,
2012-07,0.003,
2012-10,0.002,
2013-01,0.001,
2013-04,0.002,
2013-07,0.002,
2013-10,0.001,
2014-01,0.002,
2014-04,0.002,
2014-07,0.001,
