"",BBK01.OEXB07G,BBK01.OEXB07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:55,
2002-01,5.846,
2002-04,8.989,
2002-07,8.970,
2002-10,9.027,
2003-01,9.127,
2003-04,8.920,
2003-07,9.243,
2003-10,10.096,
2004-01,10.723,
2004-04,11.490,
2004-07,11.675,
2004-10,13.542,
2005-01,10.079,
2005-04,10.064,
2005-07,7.747,
2005-10,7.823,
2006-01,7.774,
2006-04,7.902,
2006-07,7.892,
2006-10,6.530,
2007-01,6.661,
2007-04,6.958,
2007-07,7.134,
2007-10,7.154,
2008-01,7.300,
2008-04,7.481,
2008-07,7.624,
2008-10,7.940,
2009-01,8.295,
2009-04,9.222,
2009-07,9.414,
2009-10,10.312,
2010-01,10.261,
2010-04,10.641,
2010-07,11.375,
2010-10,12.281,
2011-01,12.222,
2011-04,12.407,
2011-07,12.928,
2011-10,13.904,
2012-01,14.130,
2012-04,14.260,
2012-07,14.346,
2012-10,14.050,
2013-01,13.638,
2013-04,13.839,
2013-07,13.616,
2013-10,14.605,
2014-01,14.566,
2014-04,14.142,
2014-07,14.128,
