"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CA.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CA.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:35,
2009-09,447,
2009-10,392,
2009-11,414,
2009-12,417,
2010-01,434,
2010-02,459,
2010-03,444,
2010-04,451,
2010-05,501,
2010-06,541,
2010-07,529,
2010-08,523,
2010-09,475,
2010-10,479,
2010-11,470,
2010-12,488,
2011-01,460,
2011-02,445,
2011-03,419,
2011-04,410,
2011-05,378,
2011-06,376,
2011-07,386,
2011-08,390,
2011-09,415,
2011-10,421,
2011-11,440,
2011-12,470,
2012-01,470,
2012-02,455,
2012-03,429,
2012-04,460,
2012-05,483,
2012-06,487,
2012-07,517,
2012-08,508,
2012-09,492,
2012-10,493,
2012-11,494,
2012-12,473,
2013-01,471,
2013-02,469,
2013-03,411,
2013-04,421,
2013-05,416,
2013-06,363,
2013-07,419,
2013-08,411,
2013-09,423,
2013-10,425,
2013-11,412,
2013-12,407,
2014-01,411,
2014-02,400,
2014-03,390,
2014-04,400,
2014-05,401,
2014-06,417,
2014-07,439,
2014-08,439,
2014-09,517,
2014-10,624,
2014-11,659,
