"",BBK01.OEAG05N,BBK01.OEAG05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:26,
2002-01,0.755,
2002-04,0.744,
2002-07,0.546,
2002-10,0.420,
2003-01,0.470,
2003-04,0.758,
2003-07,0.817,
2003-10,0.951,
2004-01,1.134,
2004-04,0.705,
2004-07,0.917,
2004-10,0.767,
2005-01,0.605,
2005-04,0.555,
2005-07,0.495,
2005-10,0.540,
2006-01,0.407,
2006-04,0.347,
2006-07,0.340,
2006-10,0.313,
2007-01,0.272,
2007-04,0.266,
2007-07,0.255,
2007-10,0.254,
2008-01,0.206,
2008-04,0.206,
2008-07,0.263,
2008-10,0.250,
2009-01,0.215,
2009-04,0.252,
2009-07,0.242,
2009-10,0.191,
2010-01,0.192,
2010-04,0.205,
2010-07,0.202,
2010-10,0.176,
2011-01,0.183,
2011-04,1.214,
2011-07,0.179,
2011-10,0.177,
2012-01,0.176,
2012-04,0.202,
2012-07,0.237,
2012-10,0.188,
2013-01,0.275,
2013-04,0.172,
2013-07,0.173,
2013-10,0.191,
2014-01,0.191,
2014-04,0.179,
2014-07,0.176,
