"",BBK01.OELK02L,BBK01.OELK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:18,
2002-01,1.597,
2002-04,1.595,
2002-07,1.597,
2002-10,1.719,
2003-01,1.691,
2003-04,1.723,
2003-07,1.756,
2003-10,1.816,
2004-01,1.805,
2004-04,1.838,
2004-07,1.855,
2004-10,1.955,
2005-01,1.919,
2005-04,1.973,
2005-07,2.011,
2005-10,2.109,
2006-01,2.073,
2006-04,2.072,
2006-07,2.077,
2006-10,2.170,
2007-01,2.121,
2007-04,2.152,
2007-07,2.142,
2007-10,2.243,
2008-01,2.158,
2008-04,2.104,
2008-07,2.087,
2008-10,2.259,
2009-01,2.314,
2009-04,2.503,
2009-07,2.688,
2009-10,2.834,
2010-01,2.908,
2010-04,3.021,
2010-07,3.093,
2010-10,3.173,
2011-01,3.108,
2011-04,3.119,
2011-07,3.140,
2011-10,3.307,
2012-01,3.259,
2012-04,3.345,
2012-07,3.518,
2012-10,3.625,
2013-01,3.590,
2013-04,3.667,
2013-07,3.789,
2013-10,3.891,
2014-01,3.972,
2014-04,4.023,
2014-07,4.151,
