"",BBK01.OEXI09G,BBK01.OEXI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:19,
2002-01,1.988,
2002-04,1.832,
2002-07,1.842,
2002-10,1.747,
2003-01,1.616,
2003-04,1.508,
2003-07,1.353,
2003-10,1.301,
2004-01,1.253,
2004-04,1.213,
2004-07,1.177,
2004-10,1.282,
2005-01,0.972,
2005-04,0.939,
2005-07,0.639,
2005-10,0.611,
2006-01,0.620,
2006-04,0.686,
2006-07,0.790,
2006-10,0.896,
2007-01,1.238,
2007-04,1.403,
2007-07,1.506,
2007-10,1.693,
2008-01,1.763,
2008-04,1.844,
2008-07,1.937,
2008-10,2.689,
2009-01,2.581,
2009-04,2.539,
2009-07,2.509,
2009-10,2.013,
2010-01,1.660,
2010-04,1.608,
2010-07,1.547,
2010-10,1.919,
2011-01,2.210,
2011-04,2.282,
2011-07,2.232,
2011-10,2.116,
2012-01,1.971,
2012-04,2.031,
2012-07,1.901,
2012-10,1.658,
2013-01,1.357,
2013-04,1.078,
2013-07,0.999,
2013-10,0.942,
2014-01,1.073,
2014-04,1.018,
2014-07,1.053,
